,Unnamed: 0,Unnamed: 0.1,品番,日付,日量数,当月必要数,当月稼働日数,仕入先名/工場名,箱種類,収容数,基準在庫日数,基準在庫枚数,A,B,C,日量数（箱）,日量数（箱）_切り上げ,平均日量数（箱）,検収数,入庫数（箱）,出庫数（箱）,在庫数（箱）,不等ピッチ係数日,設計値MIN,設計値MAX,入庫数（箱）＞検収数,入庫数（箱）＞日量数（箱）,入庫数（箱）＜検収数,入庫数（箱）＜日量数（箱）
50,50,50,9036628A005,4,411.0,8236,21.0,（株）ジェイテクト,PT- 9 ｾﾝﾖｳ,60,0.62,1,1,1,1.9,6.85,7,6.536507936507936,6,6.0,4.0,11.0,0.0,1.8955873015873013,8.432095238095236,0,0,0,0
51,51,51,9036628A006,4,411.0,8236,21.0,（株）ジェイテクト,PT- 9 ｾﾝﾖｳ,80,0.62,1,1,1,1.9,5.1375,6,4.902380952380953,5,4.0,2.0,10.0,0.0,1.4216904761904765,6.324071428571429,0,0,0,0
52,52,52,9036628A007,4,535.0,10578,21.0,（株）ジェイテクト,PT- 9 ｾﾝﾖｳ,72,0.57,1,1,1,1.9,7.430555555555554,8,6.996031746031746,7,7.0,4.0,14.0,0.0,2.0288492063492067,9.024880952380952,0,0,0,0
53,53,53,9036628A008,4,535.0,10578,21.0,（株）ジェイテクト,PT- 9 ｾﾝﾖｳ,100,0.58,1,1,1,1.9,5.35,6,5.0371428571428565,6,6.0,3.0,12.0,0.0,1.4607714285714284,6.497914285714286,0,0,0,0
54,54,54,9036630A017,4,946.0,18814,21.0,（株）ジェイテクト,PT- 9 ｾﾝﾖｳ,72,0.6,1,1,1,1.9,13.138888888888893,14,12.443121693121693,13,13.0,7.0,21.0,0.0,3.6085052910052906,16.051626984126987,0,0,0,0
55,55,55,9036630A018,4,946.0,18814,21.0,（株）ジェイテクト,PT- 9 ｾﾝﾖｳ,38,0.34,3,1,1,1.9,24.894736842105264,25,23.576441102756892,24,24.0,14.0,34.0,0.0,6.837167919799497,30.41360902255639,0,0,0,0
56,56,56,9036652A003,4,535.0,10578,21.0,（株）ジェイテクト,PT- 9 ｾﾝﾖｳ,60,0.57,1,1,1,1.9,8.916666666666666,9,8.395238095238097,9,9.0,4.0,17.0,0.0,2.4346190476190483,10.829857142857144,0,0,0,0
57,57,57,9036652A004,4,535.0,10578,21.0,（株）ジェイテクト,PT- 9 ｾﾝﾖｳ,63,0.57,1,1,1,1.9,8.492063492063492,9,7.995464852607711,9,9.0,5.0,15.0,0.0,2.318684807256236,10.314149659863947,0,0,0,0
58,58,58,9036658A001,4,411.0,8236,21.0,（株）ジェイテクト,PT- 9 ｾﾝﾖｳ,45,0.57,1,1,1,1.9,9.133333333333333,10,8.715343915343915,8,8.0,5.0,13.0,0.0,2.527449735449736,11.24279365079365,0,0,0,0
59,59,59,9036658A002,4,411.0,8236,21.0,（株）ジェイテクト,PT- 9 ｾﾝﾖｳ,36,0.59,1,1,1,1.9,11.416666666666664,12,10.894179894179898,10,10.0,7.0,15.0,0.0,3.159312169312169,14.053492063492065,0,0,0,0
