,KOTEI_ID,WORK_ID,JISEKI_DT,JISEKI_DT2,TYOKU
663,02,01,2023-11-28 09:14:51.500,2023-11-28 09:49:06.147,0
665,02,02,2023-11-28 13:47:32.360,2023-11-28 14:38:35.487,0
669,02,03,2023-11-28 17:06:45.827,2023-11-28 17:46:12.967,0
672,02,04,2023-11-28 21:20:02.257,2023-11-29 01:43:59.263,0
675,02,05,2023-11-29 01:43:59.953,2023-11-29 02:19:39.740,0
677,02,06,2023-11-29 05:04:37.213,2023-11-29 05:39:27.347,0
679,02,01,2023-11-29 09:19:10.307,2023-11-29 09:49:13.790,0
681,02,02,2023-11-29 13:45:07.517,2023-11-29 14:36:48.200,0
685,02,03,2023-11-29 17:11:16.170,2023-11-29 17:50:05.127,0
688,02,04,2023-11-29 21:15:05.913,2023-11-29 21:40:04.813,0
691,02,05,2023-11-30 01:43:54.347,2023-11-30 02:14:13.063,0
693,02,06,2023-11-30 05:05:26.210,2023-11-30 05:39:25.697,0
695,02,01,2023-11-30 09:17:53.307,2023-11-30 09:49:06.133,0
697,02,02,2023-11-30 13:48:05.760,2023-11-30 14:38:12.767,0
701,02,03,2023-11-30 17:07:06.190,2023-11-30 17:48:05.180,0
704,02,04,2023-11-30 21:17:51.400,2023-12-01 01:43:07.547,0
707,02,05,2023-12-01 01:43:08.047,2023-12-01 02:13:06.917,0
709,02,06,2023-12-01 05:04:48.367,2023-12-01 05:36:37.520,0
711,02,01,2023-12-01 09:19:27.940,2023-12-01 09:49:10.743,0
713,02,02,2023-12-01 13:48:01.440,2023-12-01 14:36:09.287,0
720,02,03,2023-12-01 17:08:56.960,2023-12-01 17:45:05.647,0
723,02,04,2023-12-01 21:22:17.497,2023-12-02 01:59:18.160,0
726,02,05,2023-12-02 01:59:19.267,2023-12-02 05:02:38.010,0
728,02,06,2023-12-02 05:02:38.843,2023-12-02 05:36:16.077,0
731,02,01,2023-12-04 09:15:21.133,2023-12-04 09:45:55.003,0
733,02,02,2023-12-04 13:57:04.607,2023-12-04 14:38:36.120,0
737,02,03,2023-12-04 17:02:19.483,2023-12-04 17:38:56.207,0
741,02,04,2023-12-04 21:18:06.827,2023-12-04 21:52:21.463,0
748,02,05,2023-12-05 01:55:44.293,2023-12-05 02:39:01.637,0
750,02,06,2023-12-05 05:07:08.877,2023-12-05 05:48:54.937,0
752,02,01,2023-12-05 09:13:03.497,2023-12-05 09:47:49.553,0
754,02,02,2023-12-05 13:45:33.627,2023-12-05 14:26:43.493,0
758,02,03,2023-12-05 17:00:48.507,2023-12-05 17:44:30.507,0
