,品番,Year,Week_Number,在庫数（箱）,入庫数（箱）,出庫数（箱）,基準在庫日数,基準在庫枚数,箱種類,A,B,C,収容数,納入便,社内LT（検収～回収LT）,日量数（箱数）,仕入先名,かんばん数,実績LT/設計値LT,順立装置在庫量/設計値MIN,不等ピッチ,順立装置在庫量/設計値MAX,OPERATION_RATE,KAKO_CNT,先週からの順立装置在庫量増加率,先週からの社内LT増加率,先週からのかんばん増加率,使用工程
362,82125ECE010    ,2023,38,6.0,0.0,0.0,0.58,1.0,ＴＰ３３２フタアリ,1.0,1.0,1.79,100,1.0,1.935,4.99,矢崎総業（株）,24,3.3362068965517246,4.309694658133471,0.0,0.6283252373423486,97.085,450.0,-0.1428571428571429,0.548,-0.07692307692307687,4.TA・カバー・メイン
505,82125ECE010    ,2023,39,5.0,0.0,0.0,0.58,1.0,ＴＰ３３２フタアリ,1.0,1.0,1.79,100,1.0,1.5999999999999996,5.17,矢崎総業（株）,17,2.758620689655172,3.466372718260158,0.0,0.562121590535587,99.44999999999999,464.0,-0.16666666666666663,-0.17312661498708026,-0.29166666666666663,4.TA・カバー・メイン
209,82821CWA030    ,2023,37,9.0,0.0,0.0,0.83,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,200,1.0,3.8199999999999994,4.385,石黒ゴム工業（株）,23,4.602409638554216,8.846773876459716,0.29,0.7993943165869167,93.505,462.0,-0.09999999999999998,-0.09047619047619049,0.09523809523809534,8.ファイナル後半
363,82821CWA030    ,2023,38,10.0,0.0,0.0,0.83,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,200,1.5,4.255,4.387499999999999,石黒ゴム工業（株）,22,5.126506024096385,9.824147755182238,0.29,0.817175542300894,97.085,450.0,0.11111111111111116,0.11387434554973841,-0.04347826086956519,8.ファイナル後半
506,82821CWA030    ,2023,39,11.0,0.0,0.0,0.83,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,200,1.0,2.78,4.11,石黒ゴム工業（株）,11,3.3493975903614457,11.536202701568921,0.29,0.7972919499634584,99.44999999999999,464.0,0.10000000000000009,-0.3466509988249119,-0.5,8.ファイナル後半
210,82821ECB010    ,2023,37,5.0,0.0,0.0,0.83,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,400,1.5,4.2749999999999995,2.1925,石黒ゴム工業（株）,12,5.150602409638553,9.829748751621906,0.29,0.45307815059073125,93.505,462.0,0.0,0.07954545454545436,0.09090909090909083,8.ファイナル後半
364,82821ECB010    ,2023,38,5.0,0.0,0.0,0.83,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,400,1.5,4.59,2.1937499999999996,石黒ゴム工業（株）,10,5.530120481927711,9.824147755182238,0.29,0.45327996877182003,97.085,450.0,0.0,0.0736842105263158,-0.16666666666666663,8.ファイナル後半
507,82821ECB010    ,2023,39,6.0,0.0,0.0,0.83,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,400,1.0,1.93,2.055,石黒ゴム工業（株）,4,2.325301204819277,12.584948401711552,0.29,0.43747088625792285,99.44999999999999,464.0,0.19999999999999996,-0.579520697167756,-0.6,8.ファイナル後半
211,82821ECB020    ,2023,37,10.0,0.0,0.0,0.87,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.64,200,2.0,4.419999999999999,4.385,石黒ゴム工業（株）,23,5.080459770114942,9.829748751621906,0.29,0.816893437878681,93.505,462.0,-0.09090909090909094,0.02314814814814814,0.09523809523809534,8.ファイナル後半
365,82821ECB020    ,2023,38,10.0,0.0,0.0,0.87,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.64,200,2.0,4.300000000000001,4.385,石黒ゴム工業（株）,23,4.942528735632185,9.829748751621906,0.29,0.816893437878681,97.085,450.0,0.0,-0.027149321266968007,0.0,8.ファイナル後半
508,82821ECB020    ,2023,39,12.0,0.0,0.0,0.87,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.64,200,1.0,2.505,4.25,石黒ゴム工業（株）,10,2.8793103448275863,12.170385395537522,0.29,0.8271363932672833,99.44999999999999,464.0,0.19999999999999996,-0.41744186046511644,-0.5652173913043479,8.ファイナル後半
212,82821ECB040    ,2023,37,4.0,0.0,0.0,0.83,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,100,1.5,1.755,3.78,石黒ゴム工業（株）,20,2.1144578313253013,4.561211457763181,0.29,0.6023904547984739,93.505,462.0,0.0,-0.13970588235294124,0.11111111111111116,8.ファイナル後半
