,品番,年,週番号,在庫数（箱）,入庫数（箱）,出庫数（箱）,仕入先名,日量数（箱数）,発注～印刷LT,発注～検収LT,発注～順立装置入庫LT,発注～順立装置出庫LT,発注～回収LT,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,箱種類,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,収容数,納入かんばん数,合計日量数（箱数）,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収～回収LT）,不等ピッチ係数,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,設計値MIN,順立装置在庫量/設計値MIN,順立装置在庫量/設計値MAX,時間稼働率,加工数
386,35198ECE010    ,2023,51,6.0,10.0,9.0,サトープレス工業（株）,2.01,0.11,2.94,3.17,6.195,6.375,0.58,1.0726715112698608,1.0,サトープレス工業（株）,1.0,1.0,1.78,200,8,10.145,2.83,0.23,3.0250000000000004,0.17999999999999972,3.435,0.0,5.922413793103447,3.2022851021125223,0.5587799999999999,10.737678513905294,2.247797158784392,100.0,371.5
387,35300ECB010    ,2023,51,93.5,282.0,280.0,アイシン精機（株）,62.25,0.2,1.18,1.68,5.02,5.28,0.91,0.9579680213191206,3.0,アイシン精機（株）,1.0,4.0,8.04,12,285,311.8333333333333,0.98,0.5,3.34,0.2600000000000007,4.1000000000000005,0.14,4.5054945054945055,4.279892343748913,14.068499999999998,6.6460532395067,2.8555285781910915,100.0,371.5
388,35312ECB010    ,2023,51,6.0,30.0,25.0,（株）旭工業所,5.4603174603174605,0.65,2.04,2.29,4.99,5.45,0.59,0.7728471919895515,1.0,（株）旭工業所,1.0,1.0,1.9,63,29,27.190476190476193,1.39,0.25,2.7,0.46,3.41,0.0,5.779661016949151,4.412256440010591,1.5834920634920635,3.7890938251804327,0.8200277681360638,100.0,371.5
389,35409ECB010    ,2023,51,3.0,10.0,8.0,サンコール（株）,1.72,0.12,4.39,4.64,6.35,7.19,0.7,1.2804672761573066,1.0,サンコール（株）,1.0,1.0,2.26,200,9,8.565000000000001,4.27,0.25,1.71,0.8400000000000007,2.8000000000000007,0.0,4.000000000000001,2.1867017237666744,0.56072,5.350263946354687,1.267577068685776,100.0,371.5
390,35441ECB010    ,2023,51,19.0,82.0,69.0,（株）ニフコ,15.5625,0.09,2.23,2.62,5.58,5.67,0.71,0.9018720852764824,3.0,（株）ニフコ,1.0,1.0,2.14,48,75,77.95833333333333,2.14,0.3900000000000001,2.96,0.08999999999999986,3.44,0.0,4.845070422535211,3.814288141477864,4.886625,3.888164121453968,0.8950759047921892,100.0,371.5
391,35441TFA010    ,2023,51,6.0,18.0,16.0,（株）ニフコ,3.44,0.09,2.23,2.62,6.025,6.245,0.71,1.0002336380786532,1.0,（株）ニフコ,1.0,1.0,2.14,100,16,17.130000000000006,2.14,0.3900000000000001,3.405,0.21999999999999972,4.0150000000000015,0.0,5.654929577464791,4.014062162228823,1.08016,5.5547326322026365,1.2787287731023669,100.0,371.5
392,3548255A010    ,2023,51,2.0,7.0,6.0,サトープレス工業（株）,1.3333333333333337,0.11,1.94,2.21,4.355,7.0600000000000005,0.61,1.3490072669047912,1.0,サトープレス工業（株）,1.0,1.0,1.78,300,6,6.763333333333334,1.83,0.27,2.1450000000000005,2.705,5.120000000000001,0.0,8.393442622950822,3.7953835576790516,0.3706666666666668,5.3956834532374085,1.1295180722891565,100.0,371.5
393,35501ECB010    ,2023,51,5.0,19.0,17.0,大橋鉄工（株）,3.44,0.12,1.46,1.7,5.05,5.29,0.64,0.9302336380786532,1.0,大橋鉄工（株）,1.0,1.0,1.38,100,17,17.130000000000006,1.34,0.24,3.35,0.2400000000000002,3.83,0.0,5.984375,4.117245220147764,0.8187199999999999,6.107094000390855,1.1284847609417883,100.0,371.5
394,35505ECB010    ,2023,51,12.0,69.0,64.0,中庸スプリング（株）,14.333333333333336,0.33,1.34,1.62,3.62,3.885,0.85,0.9196560731388768,1.0,中庸スプリング（株）,1.0,2.0,2.34,24,74,71.375,1.01,0.28,2.0,0.2649999999999997,2.545,0.1,2.994117647058824,2.7673388719259626,2.3936666666666677,5.013229355243001,1.167655930719081,100.0,371.5
395,35556ECB010    ,2023,51,3.0,18.0,15.0,（株）ギフ加藤製作所,3.37,0.195,2.045,3.3,4.79,5.425,0.79,1.0802336380786532,1.0,（株）ギフ加藤製作所,1.0,2.0,3.8,100,16,17.130000000000006,1.85,1.255,1.4900000000000002,0.6349999999999998,3.38,0.12,4.278481012658228,3.1289527384203684,0.8088,3.70919881305638,1.1268452090297862,100.0,371.5
