,品番,年,週番号,在庫数（箱）,入庫数（箱）,出庫数（箱）,仕入先名,日量数（箱数）,発注～印刷LT,発注～検収LT,発注～順立装置入庫LT,発注～順立装置出庫LT,発注～回収LT,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,箱種類,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,収容数,納入かんばん数,合計日量数（箱数）,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収～回収LT）,不等ピッチ係数,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,設計値MIN,順立装置在庫量/設計値MIN,順立装置在庫量/設計値MAX
37,33490ECE010    ,2023,50,65.0,453.0,456.0,マレリ（株）,97.75,0.32,2.32,2.62,5.03,5.225,0.81,0.8395602906761918,3.0,マレリ（株）,1.0,2.0,3.92,4,500,490.25,1.9999999999999998,0.30000000000000027,2.41,0.1949999999999994,2.905,0.23,3.5864197530864192,3.4601445926656185,24.0465,2.703096084669286,0.835378940739503
38,33490ECE010    ,2023,51,104.0,543.0,458.0,マレリ（株）,100.5,0.32,4.09,4.39,5.44,5.63,0.81,0.8395602906761918,3.0,マレリ（株）,1.0,2.0,3.92,4,538,507.25,3.77,0.2999999999999998,1.0500000000000007,0.1899999999999995,1.54,0.23,1.9012345679012346,1.8342935190034606,24.723,4.2066092302714075,1.3000325008125202
39,34989ECB020    ,2023,48,7.0,3.0,3.0,（株）槌屋,1.496,0.27,2.5,2.85,12.965,14.07,0.81,1.5132348804500704,1.0,（株）槌屋,1.0,1.0,2.33,500,2,1.496,2.23,0.3500000000000001,10.115,1.1050000000000004,11.57,0.0,14.28395061728395,7.645871866605943,0.498168,14.051484639719934,3.3833292733382057
40,34989ECB020    ,2023,49,7.0,8.0,9.0,（株）槌屋,1.594,0.27,2.5,2.91,8.67,9.99,0.81,1.5132348804500704,1.0,（株）槌屋,1.0,1.0,2.33,500,5,4.678,2.23,0.41000000000000014,5.76,1.3200000000000003,7.49,0.0,9.246913580246913,4.949661217016293,0.530802,13.187591606663124,3.1753203217778894
41,34989ECB020    ,2023,50,6.0,7.0,8.0,（株）槌屋,1.594,0.26,4.5,4.875,7.68,9.71,0.81,1.5132348804500704,1.0,（株）槌屋,1.0,1.0,2.33,500,4,4.686,4.24,0.375,2.8049999999999997,2.030000000000001,5.210000000000001,0.0,6.4320987654321,3.442955265775019,0.530802,11.303649948568394,2.721703132952477
42,34989ECB020    ,2023,51,6.0,7.0,8.0,（株）槌屋,1.594,0.27,4.49,4.8,5.99,9.35,0.81,1.5132348804500704,1.0,（株）槌屋,1.0,1.0,2.33,500,9,7.784000000000001,4.220000000000001,0.3099999999999996,1.1900000000000004,3.3599999999999994,4.859999999999999,0.0,5.999999999999999,3.211662685540612,0.530802,11.303649948568394,2.721703132952477
43,35141ECB010    ,2023,48,10.0,31.0,30.0,（株）アイシン福井,21.0625,0.27,0.99,1.06,1.8599999999999999,3.94,0.62,0.7593121462777536,3.0,（株）アイシン福井,1.0,24.0,19.68,16,28,21.0625,0.72,0.07000000000000006,0.7999999999999998,2.08,2.95,,4.758064516129033,3.885095233180823,1.8148854166666668,5.5099897261649895,2.669788836389222
44,35141ECB010    ,2023,49,16.0,107.0,101.0,（株）アイシン福井,20.375,0.27,1.0350000000000001,1.25,2.18,2.4050000000000002,0.62,0.7593121462777536,3.0,（株）アイシン福井,1.0,24.0,19.68,16,92,102.25,0.7650000000000001,0.21499999999999986,0.9300000000000002,0.2250000000000001,1.37,,2.209677419354839,1.8042645659178738,1.7556458333333336,9.113455399840987,4.415797977242541
45,35141ECB010    ,2023,50,12.0,95.0,104.0,（株）アイシン福井,22.25,0.21,1.0,0.99,1.51,1.69,0.62,0.7593121462777536,3.0,（株）アイシン福井,1.0,24.0,19.68,16,97,111.0625,0.79,-0.010000000000000009,0.52,0.17999999999999994,0.69,,1.1129032258064515,0.9087171901338195,1.9172083333333334,6.259100688935735,3.0327601276286553
46,35141ECB010    ,2023,51,11.0,94.0,95.0,（株）アイシン福井,21.5,0.26,1.06,1.15,1.94,2.2,0.62,0.7593121462777536,3.0,（株）アイシン福井,1.0,24.0,19.68,16,103,107.0625,0.8,0.08999999999999986,0.79,0.26000000000000023,1.1400000000000001,,1.838709677419355,1.5013588358732672,1.8525833333333335,5.937654626422563,2.8770079117717575
