,仕入先名,品番,検収日,納入便,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,かんばん数,最大日量数（箱数）,日量数（箱数）2,ユニークな納入便の数,不等ピッチ係数,日在庫数（箱）,合計入庫数（箱）,合計出庫数（箱）,不等ピッチ在庫,最大便Ave,便Ave+不等ピッチ在庫,差分,設計値MIN,設計値MAX,在庫数/設計値MAX
46,アイシン機工（株）,35771ECB010    ,5,1.0,1.0,6.0,4.92,16.0,94.25,81.5,6.0,0.07,14.083333333333334,95.0,84.0,6.597500000000001,15.708333333333334,22.305833333333336,-6.305833333333336,10.0,33.0,0.4267676767676768
47,アイシン機工（株）,35771ECB010    ,5,2.0,1.0,6.0,4.92,13.0,94.25,81.5,6.0,0.07,14.083333333333334,95.0,84.0,6.597500000000001,15.708333333333334,22.305833333333336,-9.305833333333336,10.0,33.0,0.4267676767676768
48,アイシン機工（株）,35771ECB010    ,5,3.0,1.0,6.0,4.92,14.0,94.25,81.5,6.0,0.07,14.083333333333334,95.0,84.0,6.597500000000001,15.708333333333334,22.305833333333336,-8.305833333333336,10.0,33.0,0.4267676767676768
49,アイシン機工（株）,35771ECB010    ,5,4.0,1.0,6.0,4.92,16.0,94.25,81.5,6.0,0.07,14.083333333333334,95.0,84.0,6.597500000000001,15.708333333333334,22.305833333333336,-6.305833333333336,10.0,33.0,0.4267676767676768
50,アイシン機工（株）,35771ECB010    ,5,5.0,1.0,6.0,4.92,11.0,94.25,81.5,6.0,0.07,14.083333333333334,95.0,84.0,6.597500000000001,15.708333333333334,22.305833333333336,-11.305833333333336,10.0,33.0,0.4267676767676768
51,アイシン機工（株）,35771ECB010    ,5,6.0,1.0,6.0,4.92,16.0,94.25,81.5,6.0,0.07,14.083333333333334,95.0,84.0,6.597500000000001,15.708333333333334,22.305833333333336,-6.305833333333336,10.0,33.0,0.4267676767676768
52,アイシン機工（株）,35771ECB010    ,6,1.0,1.0,6.0,4.92,16.0,94.25,81.0,6.0,0.07,20.416666666666668,84.0,83.0,6.597500000000001,15.708333333333334,22.305833333333336,-6.305833333333336,10.0,33.0,0.6186868686868687
53,アイシン機工（株）,35771ECB010    ,6,2.0,1.0,6.0,4.92,9.0,94.25,81.0,6.0,0.07,20.416666666666668,84.0,83.0,6.597500000000001,15.708333333333334,22.305833333333336,-13.305833333333336,10.0,33.0,0.6186868686868687
54,アイシン機工（株）,35771ECB010    ,6,3.0,1.0,6.0,4.92,16.0,94.25,81.0,6.0,0.07,20.416666666666668,84.0,83.0,6.597500000000001,15.708333333333334,22.305833333333336,-6.305833333333336,10.0,33.0,0.6186868686868687
55,アイシン機工（株）,35771ECB010    ,6,4.0,1.0,6.0,4.92,16.0,94.25,81.0,6.0,0.07,20.416666666666668,84.0,83.0,6.597500000000001,15.708333333333334,22.305833333333336,-6.305833333333336,10.0,33.0,0.6186868686868687
56,アイシン機工（株）,35771ECB010    ,6,5.0,1.0,6.0,4.92,12.0,94.25,81.0,6.0,0.07,20.416666666666668,84.0,83.0,6.597500000000001,15.708333333333334,22.305833333333336,-10.305833333333336,10.0,33.0,0.6186868686868687
57,アイシン機工（株）,35771ECB010    ,6,6.0,1.0,6.0,4.92,16.0,94.25,81.0,6.0,0.07,20.416666666666668,84.0,83.0,6.597500000000001,15.708333333333334,22.305833333333336,-6.305833333333336,10.0,33.0,0.6186868686868687
58,アイシン機工（株）,35771ECB010    ,7,1.0,1.0,6.0,4.92,16.0,94.25,81.0,6.0,0.07,24.333333333333332,96.0,70.0,6.597500000000001,15.708333333333334,22.305833333333336,-6.305833333333336,10.0,33.0,0.7373737373737373
59,アイシン機工（株）,35771ECB010    ,7,2.0,1.0,6.0,4.92,4.0,94.25,81.0,6.0,0.07,24.333333333333332,96.0,70.0,6.597500000000001,15.708333333333334,22.305833333333336,-18.305833333333336,10.0,33.0,0.7373737373737373
60,アイシン機工（株）,35771ECB010    ,7,3.0,1.0,6.0,4.92,16.0,94.25,81.0,6.0,0.07,24.333333333333332,96.0,70.0,6.597500000000001,15.708333333333334,22.305833333333336,-6.305833333333336,10.0,33.0,0.7373737373737373
61,アイシン機工（株）,35771ECB010    ,7,4.0,1.0,6.0,4.92,16.0,94.25,81.0,6.0,0.07,24.333333333333332,96.0,70.0,6.597500000000001,15.708333333333334,22.305833333333336,-6.305833333333336,10.0,33.0,0.7373737373737373
62,アイシン機工（株）,35771ECB010    ,7,5.0,1.0,6.0,4.92,11.0,94.25,81.0,6.0,0.07,24.333333333333332,96.0,70.0,6.597500000000001,15.708333333333334,22.305833333333336,-11.305833333333336,10.0,33.0,0.7373737373737373
63,アイシン機工（株）,35771ECB010    ,7,6.0,1.0,6.0,4.92,16.0,94.25,81.0,6.0,0.07,24.333333333333332,96.0,70.0,6.597500000000001,15.708333333333334,22.305833333333336,-6.305833333333336,10.0,33.0,0.7373737373737373
64,アイシン機工（株）,35771ECB010    ,8,1.0,1.0,6.0,4.92,16.0,94.25,83.0,6.0,0.07,32.75,78.0,93.0,6.597500000000001,15.708333333333334,22.305833333333336,-6.305833333333336,10.0,33.0,0.9924242424242424
65,アイシン機工（株）,35771ECB010    ,8,2.0,1.0,6.0,4.92,9.0,94.25,83.0,6.0,0.07,32.75,78.0,93.0,6.597500000000001,15.708333333333334,22.305833333333336,-13.305833333333336,10.0,33.0,0.9924242424242424
66,アイシン機工（株）,35771ECB010    ,8,3.0,1.0,6.0,4.92,17.0,94.25,83.0,6.0,0.07,32.75,78.0,93.0,6.597500000000001,15.708333333333334,22.305833333333336,-5.305833333333336,10.0,33.0,0.9924242424242424
67,アイシン機工（株）,35771ECB010    ,8,4.0,1.0,6.0,4.92,10.0,94.25,83.0,6.0,0.07,32.75,78.0,93.0,6.597500000000001,15.708333333333334,22.305833333333336,-12.305833333333336,10.0,33.0,0.9924242424242424
68,アイシン機工（株）,35771ECB010    ,8,5.0,1.0,6.0,4.92,16.0,94.25,83.0,6.0,0.07,32.75,78.0,93.0,6.597500000000001,15.708333333333334,22.305833333333336,-6.305833333333336,10.0,33.0,0.9924242424242424
69,アイシン機工（株）,35771ECB010    ,8,6.0,1.0,6.0,4.92,16.0,94.25,83.0,6.0,0.07,32.75,78.0,93.0,6.597500000000001,15.708333333333334,22.305833333333336,-6.305833333333336,10.0,33.0,0.9924242424242424
70,アイシン機工（株）,35771ECB010    ,9,5.0,1.0,6.0,4.92,5.0,94.25,0.0,2.0,0.07,21.666666666666668,27.0,39.0,6.597500000000001,15.708333333333334,22.305833333333336,-17.305833333333336,10.0,33.0,0.6565656565656566
71,アイシン機工（株）,35771ECB010    ,9,6.0,1.0,6.0,4.92,14.0,94.25,0.0,2.0,0.07,21.666666666666668,27.0,39.0,6.597500000000001,15.708333333333334,22.305833333333336,-8.305833333333336,10.0,33.0,0.6565656565656566
72,アイシン機工（株）,35771ECB010    ,11,1.0,1.0,6.0,4.92,17.0,94.25,89.0,4.0,0.07,14.791666666666666,46.0,48.0,6.597500000000001,15.708333333333334,22.305833333333336,-5.305833333333336,10.0,33.0,0.4482323232323232
73,アイシン機工（株）,35771ECB010    ,11,2.0,1.0,6.0,4.92,10.0,94.25,89.0,4.0,0.07,14.791666666666666,46.0,48.0,6.597500000000001,15.708333333333334,22.305833333333336,-12.305833333333336,10.0,33.0,0.4482323232323232
74,アイシン機工（株）,35771ECB010    ,11,3.0,1.0,6.0,4.92,17.0,94.25,89.0,4.0,0.07,14.791666666666666,46.0,48.0,6.597500000000001,15.708333333333334,22.305833333333336,-5.305833333333336,10.0,33.0,0.4482323232323232
75,アイシン機工（株）,35771ECB010    ,11,4.0,1.0,6.0,4.92,17.0,94.25,89.0,4.0,0.07,14.791666666666666,46.0,48.0,6.597500000000001,15.708333333333334,22.305833333333336,-5.305833333333336,10.0,33.0,0.4482323232323232
76,アイシン機工（株）,35771ECB010    ,12,1.0,1.0,6.0,4.92,17.0,94.25,89.25,6.0,0.07,17.333333333333332,85.0,94.0,6.597500000000001,15.708333333333334,22.305833333333336,-5.305833333333336,10.0,33.0,0.5252525252525252
77,アイシン機工（株）,35771ECB010    ,12,2.0,1.0,6.0,4.92,8.0,94.25,89.25,6.0,0.07,17.333333333333332,85.0,94.0,6.597500000000001,15.708333333333334,22.305833333333336,-14.305833333333336,10.0,33.0,0.5252525252525252
78,アイシン機工（株）,35771ECB010    ,12,3.0,1.0,6.0,4.92,17.0,94.25,89.25,6.0,0.07,17.333333333333332,85.0,94.0,6.597500000000001,15.708333333333334,22.305833333333336,-5.305833333333336,10.0,33.0,0.5252525252525252
79,アイシン機工（株）,35771ECB010    ,12,4.0,1.0,6.0,4.92,17.0,94.25,89.25,6.0,0.07,17.333333333333332,85.0,94.0,6.597500000000001,15.708333333333334,22.305833333333336,-5.305833333333336,10.0,33.0,0.5252525252525252
80,アイシン機工（株）,35771ECB010    ,12,5.0,1.0,6.0,4.92,17.0,94.25,89.25,6.0,0.07,17.333333333333332,85.0,94.0,6.597500000000001,15.708333333333334,22.305833333333336,-5.305833333333336,10.0,33.0,0.5252525252525252
81,アイシン機工（株）,35771ECB010    ,12,6.0,1.0,6.0,4.92,17.0,94.25,89.25,6.0,0.07,17.333333333333332,85.0,94.0,6.597500000000001,15.708333333333334,22.305833333333336,-5.305833333333336,10.0,33.0,0.5252525252525252
82,アイシン機工（株）,35771ECB010    ,13,1.0,1.0,6.0,4.92,17.0,94.25,88.75,6.0,0.07,14.208333333333334,94.0,89.0,6.597500000000001,15.708333333333334,22.305833333333336,-5.305833333333336,10.0,33.0,0.4305555555555556
83,アイシン機工（株）,35771ECB010    ,13,2.0,1.0,6.0,4.92,11.0,94.25,88.75,6.0,0.07,14.208333333333334,94.0,89.0,6.597500000000001,15.708333333333334,22.305833333333336,-11.305833333333336,10.0,33.0,0.4305555555555556
84,アイシン機工（株）,35771ECB010    ,13,3.0,1.0,6.0,4.92,17.0,94.25,88.75,6.0,0.07,14.208333333333334,94.0,89.0,6.597500000000001,15.708333333333334,22.305833333333336,-5.305833333333336,10.0,33.0,0.4305555555555556
85,アイシン機工（株）,35771ECB010    ,13,4.0,1.0,6.0,4.92,17.0,94.25,88.75,6.0,0.07,14.208333333333334,94.0,89.0,6.597500000000001,15.708333333333334,22.305833333333336,-5.305833333333336,10.0,33.0,0.4305555555555556
86,アイシン機工（株）,35771ECB010    ,13,5.0,1.0,6.0,4.92,14.0,94.25,88.75,6.0,0.07,14.208333333333334,94.0,89.0,6.597500000000001,15.708333333333334,22.305833333333336,-8.305833333333336,10.0,33.0,0.4305555555555556
87,アイシン機工（株）,35771ECB010    ,13,6.0,1.0,6.0,4.92,17.0,94.25,88.75,6.0,0.07,14.208333333333334,94.0,89.0,6.597500000000001,15.708333333333334,22.305833333333336,-5.305833333333336,10.0,33.0,0.4305555555555556
88,アイシン機工（株）,35771ECB010    ,14,1.0,1.0,6.0,4.92,17.0,94.25,87.0,6.0,0.07,20.125,88.0,90.0,6.597500000000001,15.708333333333334,22.305833333333336,-5.305833333333336,10.0,33.0,0.6098484848484849
89,アイシン機工（株）,35771ECB010    ,14,2.0,1.0,6.0,4.92,14.0,94.25,87.0,6.0,0.07,20.125,88.0,90.0,6.597500000000001,15.708333333333334,22.305833333333336,-8.305833333333336,10.0,33.0,0.6098484848484849
90,アイシン機工（株）,35771ECB010    ,14,3.0,1.0,6.0,4.92,13.0,94.25,87.0,6.0,0.07,20.125,88.0,90.0,6.597500000000001,15.708333333333334,22.305833333333336,-9.305833333333336,10.0,33.0,0.6098484848484849
91,アイシン機工（株）,35771ECB010    ,14,4.0,1.0,6.0,4.92,16.0,94.25,87.0,6.0,0.07,20.125,88.0,90.0,6.597500000000001,15.708333333333334,22.305833333333336,-6.305833333333336,10.0,33.0,0.6098484848484849
92,アイシン機工（株）,35771ECB010    ,14,5.0,1.0,6.0,4.92,13.0,94.25,87.0,6.0,0.07,20.125,88.0,90.0,6.597500000000001,15.708333333333334,22.305833333333336,-9.305833333333336,10.0,33.0,0.6098484848484849
93,アイシン機工（株）,35771ECB010    ,14,6.0,1.0,6.0,4.92,17.0,94.25,87.0,6.0,0.07,20.125,88.0,90.0,6.597500000000001,15.708333333333334,22.305833333333336,-5.305833333333336,10.0,33.0,0.6098484848484849
94,アイシン機工（株）,35771ECB010    ,15,1.0,1.0,6.0,4.92,17.0,94.25,90.25,6.0,0.07,17.157894736842106,88.0,87.0,6.597500000000001,15.708333333333334,22.305833333333336,-5.305833333333336,10.0,33.0,0.5199362041467305
95,アイシン機工（株）,35771ECB010    ,15,2.0,1.0,6.0,4.92,6.0,94.25,90.25,6.0,0.07,17.157894736842106,88.0,87.0,6.597500000000001,15.708333333333334,22.305833333333336,-16.305833333333336,10.0,33.0,0.5199362041467305
96,アイシン機工（株）,35771ECB010    ,15,3.0,1.0,6.0,4.92,17.0,94.25,90.25,6.0,0.07,17.157894736842106,88.0,87.0,6.597500000000001,15.708333333333334,22.305833333333336,-5.305833333333336,10.0,33.0,0.5199362041467305
97,アイシン機工（株）,35771ECB010    ,15,4.0,1.0,6.0,4.92,17.0,94.25,90.25,6.0,0.07,17.157894736842106,88.0,87.0,6.597500000000001,15.708333333333334,22.305833333333336,-5.305833333333336,10.0,33.0,0.5199362041467305
98,アイシン機工（株）,35771ECB010    ,15,5.0,1.0,6.0,4.92,11.0,94.25,90.25,6.0,0.07,17.157894736842106,88.0,87.0,6.597500000000001,15.708333333333334,22.305833333333336,-11.305833333333336,10.0,33.0,0.5199362041467305
99,アイシン機工（株）,35771ECB010    ,15,6.0,1.0,6.0,4.92,17.0,94.25,90.25,6.0,0.07,17.157894736842106,88.0,87.0,6.597500000000001,15.708333333333334,22.305833333333336,-5.305833333333336,10.0,33.0,0.5199362041467305
100,アイシン機工（株）,35771ECB010    ,16,5.0,1.0,6.0,4.92,17.0,94.25,0.0,2.0,0.07,,,,6.597500000000001,15.708333333333334,22.305833333333336,-5.305833333333336,10.0,33.0,
101,アイシン機工（株）,35771ECB010    ,16,6.0,1.0,6.0,4.92,18.0,94.25,0.0,2.0,0.07,,,,6.597500000000001,15.708333333333334,22.305833333333336,-4.305833333333336,10.0,33.0,
102,アイシン機工（株）,35771ECB010    ,18,1.0,1.0,6.0,4.92,18.0,94.25,87.25,4.0,0.07,22.571428571428573,36.0,42.0,6.597500000000001,15.708333333333334,22.305833333333336,-4.305833333333336,10.0,33.0,0.683982683982684
103,アイシン機工（株）,35771ECB010    ,18,2.0,1.0,6.0,4.92,11.0,94.25,87.25,4.0,0.07,22.571428571428573,36.0,42.0,6.597500000000001,15.708333333333334,22.305833333333336,-11.305833333333336,10.0,33.0,0.683982683982684
104,アイシン機工（株）,35771ECB010    ,18,3.0,1.0,6.0,4.92,17.0,94.25,87.25,4.0,0.07,22.571428571428573,36.0,42.0,6.597500000000001,15.708333333333334,22.305833333333336,-5.305833333333336,10.0,33.0,0.683982683982684
105,アイシン機工（株）,35771ECB010    ,18,4.0,1.0,6.0,4.92,17.0,94.25,87.25,4.0,0.07,22.571428571428573,36.0,42.0,6.597500000000001,15.708333333333334,22.305833333333336,-5.305833333333336,10.0,33.0,0.683982683982684
106,アイシン機工（株）,35771ECB010    ,19,1.0,1.0,6.0,4.92,17.0,94.25,86.0,6.0,0.07,25.291666666666668,104.0,93.0,6.597500000000001,15.708333333333334,22.305833333333336,-5.305833333333336,10.0,33.0,0.7664141414141414
107,アイシン機工（株）,35771ECB010    ,19,2.0,1.0,6.0,4.92,10.0,94.25,86.0,6.0,0.07,25.291666666666668,104.0,93.0,6.597500000000001,15.708333333333334,22.305833333333336,-12.305833333333336,10.0,33.0,0.7664141414141414
108,アイシン機工（株）,35771ECB010    ,19,3.0,1.0,6.0,4.92,14.0,94.25,86.0,6.0,0.07,25.291666666666668,104.0,93.0,6.597500000000001,15.708333333333334,22.305833333333336,-8.305833333333336,10.0,33.0,0.7664141414141414
109,アイシン機工（株）,35771ECB010    ,19,4.0,1.0,6.0,4.92,17.0,94.25,86.0,6.0,0.07,25.291666666666668,104.0,93.0,6.597500000000001,15.708333333333334,22.305833333333336,-5.305833333333336,10.0,33.0,0.7664141414141414
