,品番,年月日,年,月,週番号,日,曜日_番号,曜日_名前,手配）品名,手配）仕入先名,手配）手配区分,手配）仕入先発送場所名,手配）受入場所,手配）受入場所名,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,箱重量,箱種類,基準在庫日数,基準在庫枚数,収容数,日量数,日量計算数,日量数（箱数）,日量計算数（箱数）,月平均日量数,月平均日量数（箱数）,基準在庫枚数（日数）,基準在庫日数（基準在庫枚数込み）,印刷～検収LT,検収～入庫LT,入庫～出庫LT,出庫～回収LT,社内LT（検収～回収LT）,納入かんばん数,回収かんばん数,仕入先名,実績納入回数,在庫数（箱）_1日の平均値,入庫数（箱）_1日の合計値,出庫数（箱）_1日の合計値,時間稼働率,加工数,発送場所名,不等ピッチ係数【日】,使用工程
30,35580ECB011,2023-12-01,2023,12,48,1,4,金曜日,"ACTUATOR ASSY, SHIFT CONTROL",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,10.68,TP-342 ｾﾝﾖｳ,0.9,3.0,6.0,337.0,337.0,56.16666666666666,56.16666666666666,344.55,57.425,0.0522420548541576,0.9522420548541576,0.98,2.3600000000000003,1.5899999999999999,0.1800000000000006,3.8500000000000005,58.0,56.0,アイシン精機（株）,4.0,66.125,60.0,58.0,94.61500000000001,369.5,半田工場,0.14,8.ファイナル後半
31,35580ECB011,2023-12-02,2023,12,48,2,5,土曜日,"ACTUATOR ASSY, SHIFT CONTROL",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,10.68,TP-342 ｾﾝﾖｳ,0.9,3.0,6.0,0.0,0.0,0.0,0.0,344.55,57.425,0.0522420548541576,0.9522420548541576,,,,,,0.0,0.0,,0.0,59.0,0.0,0.0,0.0,0.0,,,8.ファイナル後半
32,35580ECB011,2023-12-03,2023,12,48,3,6,日曜日,"ACTUATOR ASSY, SHIFT CONTROL",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,10.68,TP-342 ｾﾝﾖｳ,0.9,3.0,6.0,0.0,0.0,0.0,0.0,344.55,57.425,0.0522420548541576,0.9522420548541576,,,,,,0.0,0.0,,0.0,59.0,0.0,0.0,0.0,0.0,,,8.ファイナル後半
33,35580ECB011,2023-12-04,2023,12,49,4,0,月曜日,"ACTUATOR ASSY, SHIFT CONTROL",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,10.68,TP-342 ｾﾝﾖｳ,0.9,3.0,6.0,330.0,330.0,55.0,55.0,344.55,57.425,0.0522420548541576,0.9522420548541576,3.0,0.14000000000000012,1.2200000000000002,0.22000000000000064,1.9299999999999997,55.0,58.0,アイシン精機（株）,4.0,68.45833333333333,85.0,55.0,96.84,378.5,半田工場,0.14,8.ファイナル後半
34,35580ECB011,2023-12-05,2023,12,49,5,1,火曜日,"ACTUATOR ASSY, SHIFT CONTROL",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,10.68,TP-342 ｾﾝﾖｳ,0.9,3.0,6.0,326.0,326.0,54.33333333333334,54.33333333333334,344.55,57.425,0.0522420548541576,0.9522420548541576,0.9900000000000001,0.26000000000000023,1.3699999999999997,0.20999999999999996,1.9700000000000002,57.0,54.0,アイシン精機（株）,4.0,76.41666666666667,57.0,57.0,99.01,386.0,半田工場,0.14,8.ファイナル後半
35,35580ECB011,2023-12-06,2023,12,49,6,2,水曜日,"ACTUATOR ASSY, SHIFT CONTROL",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,10.68,TP-342 ｾﾝﾖｳ,0.9,3.0,6.0,324.0,324.0,54.0,54.0,344.55,57.425,0.0522420548541576,0.9522420548541576,0.9800000000000001,0.29000000000000004,1.53,0.17999999999999972,2.08,55.0,56.0,アイシン精機（株）,4.0,78.58333333333333,55.0,56.0,99.455,388.5,半田工場,0.14,8.ファイナル後半
36,35580ECB011,2023-12-07,2023,12,49,7,3,木曜日,"ACTUATOR ASSY, SHIFT CONTROL",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,10.68,TP-342 ｾﾝﾖｳ,0.9,3.0,6.0,324.0,324.0,54.0,54.0,344.55,57.425,0.0522420548541576,0.9522420548541576,0.97,0.27,3.25,0.16999999999999993,4.0200000000000005,61.0,50.0,アイシン精機（株）,4.0,77.70833333333333,21.0,47.0,43.725,130.0,半田工場,0.14,8.ファイナル後半
37,35580ECB011,2023-12-08,2023,12,49,8,4,金曜日,"ACTUATOR ASSY, SHIFT CONTROL",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,10.68,TP-342 ｾﾝﾖｳ,0.9,3.0,6.0,332.0,332.0,55.33333333333334,55.33333333333334,344.55,57.425,0.0522420548541576,0.9522420548541576,1.01,0.27,3.45,0.18500000000000005,4.0200000000000005,52.0,57.0,アイシン精機（株）,4.0,88.79166666666669,92.0,57.0,99.77000000000001,390.0,半田工場,0.14,8.ファイナル後半
38,35580ECB011,2023-12-09,2023,12,49,9,5,土曜日,"ACTUATOR ASSY, SHIFT CONTROL",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,10.68,TP-342 ｾﾝﾖｳ,0.9,3.0,6.0,0.0,0.0,0.0,0.0,344.55,57.425,0.0522420548541576,0.9522420548541576,,,,,,0.0,0.0,,0.0,99.0,0.0,0.0,0.0,0.0,,,8.ファイナル後半
39,35580ECB011,2023-12-10,2023,12,49,10,6,日曜日,"ACTUATOR ASSY, SHIFT CONTROL",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,10.68,TP-342 ｾﾝﾖｳ,0.9,3.0,6.0,0.0,0.0,0.0,0.0,344.55,57.425,0.0522420548541576,0.9522420548541576,,,,,,0.0,0.0,,0.0,99.0,0.0,0.0,0.0,0.0,,,8.ファイナル後半
