,品番,Year,Week_Number,在庫数（箱）,入庫数（箱）,出庫数（箱）,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,箱種類,A,B,C,収容数,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収回収LT）,仕入先名,回収かんばん数,日量数（箱数）,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,順立装置在庫量/設計値MIN,不等ピッチ係数,順立装置在庫量/設計値MAX,時間稼働率,加工数,先週からの順立装置在庫量増加率,先週からの社内LT増加率,先週からの回収かんばん増加率,使用工程,納入かんばん数,納入数/日量数,入庫数/納入数,出庫数/入庫数,回収数/出庫数,回収数/納入数,便Ave
53,2030045013L    ,2023,39,2.0,6.0,4.0,0.53,3.1437825166991664,3.0,ＴＰ３３１フタナシ,1.0,1.0,1.96,2000.0,2.045,0.3800000000000003,4.405,1.0549999999999997,6.659999999999999,伊藤金属工業（株）,6.0,4.638999999999999,12.566037735849054,2.1184671536988846,1.4565114802234873,0.0,0.3160825247614719,99.955,464.0,0.0,0.185053380782918,0.19999999999999996,3.ギヤサブ・共通部品,6.0,1.2933821944384567,1.0,0.6666666666666666,1.5,1.0,4.638999999999999
56,2030052002N    ,2023,36,3.0,14.0,14.0,0.5,1.5045710641012011,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300.0,0.55,0.22,1.0,0.55,1.97,（株）杉浦製作所,15.0,15.756666666666668,3.94,1.3093432719821954,1.8485009684091183,0.12,0.28531572315156467,99.89500000000001,480.0,0.0,0.13218390804597724,2.0,2.MGケース,16.0,1.0154431986460757,0.875,1.0,1.0714285714285714,0.9375,7.878333333333334
57,2030052002N    ,2023,37,2.0,16.0,15.0,0.5,1.5045710641012011,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300.0,0.54,0.20000000000000007,0.8900000000000001,0.79,1.81,（株）杉浦製作所,15.0,14.763333333333334,3.62,1.2030006712120678,1.3152501057680293,0.12,0.21197480795045184,99.44,462.0,-0.33333333333333337,-0.08121827411167504,0.0,2.MGケース,18.0,1.219236848046963,0.8888888888888888,0.9375,1.0,0.8333333333333334,7.381666666666667
58,2030052002N    ,2023,38,5.0,13.0,13.0,0.5,1.5045710641012011,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300.0,0.51,0.18999999999999995,0.7050000000000001,0.45500000000000007,2.5300000000000002,（株）杉浦製作所,16.0,14.42,5.0600000000000005,1.681542374677642,3.3664139611919794,0.12,0.4425791616714782,99.905,450.0,1.5,0.3977900552486189,0.06666666666666665,2.MGケース,13.0,0.9015256588072122,1.0,1.0,1.2307692307692308,1.2307692307692308,7.21
59,2030052002N    ,2023,39,4.0,19.0,14.0,0.5,1.5045710641012011,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300.0,0.55,0.18999999999999995,2.03,0.46,2.63,（株）杉浦製作所,13.0,14.840000000000002,5.26,1.7480065001589713,2.6169104754926327,0.12,0.37109502014090956,99.955,464.0,-0.19999999999999996,0.039525691699604515,-0.1875,2.MGケース,19.0,1.2803234501347707,1.0,0.7368421052631579,0.9285714285714286,0.6842105263157895,7.420000000000001
62,3040052001B    ,2023,36,3.0,39.0,38.0,0.52,0.8869874408742456,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500.0,0.91,0.21,0.2350000000000001,0.2400000000000001,0.8900000000000001,（株）青山製作所,38.0,43.135999999999996,1.7115384615384617,1.0033963943421624,0.6172853054272823,0.08,0.3011014701649815,99.89500000000001,480.0,0.5,-0.08247422680412375,1.923076923076923,3.ギヤサブ・共通部品,42.0,0.9736646884272998,0.9285714285714286,0.9743589743589743,1.0,0.9047619047619048,7.189333333333333
63,3040052001B    ,2023,37,2.0,30.0,23.0,0.52,0.8869874408742456,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500.0,0.91,0.15999999999999992,0.23,0.4099999999999997,0.79,（株）青山製作所,37.0,40.416000000000004,1.5192307692307692,0.8906552264385487,0.43921910357137833,0.08,0.21748541161939047,99.44,462.0,-0.33333333333333337,-0.1123595505617978,-0.02631578947368418,3.ギヤサブ・共通部品,29.0,0.7175376088677751,1.0344827586206897,0.7666666666666667,1.608695652173913,1.2758620689655173,6.736000000000001
64,3040052001B    ,2023,38,3.0,37.0,31.0,0.52,0.8869874408742456,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500.0,0.925,0.215,0.17500000000000027,0.30500000000000005,0.7649999999999999,（株）青山製作所,34.0,39.51399999999999,1.4711538461538458,0.8624699344626451,0.6738679691985435,0.08,0.3248428565474063,99.905,450.0,0.5,-0.03164556962025333,-0.08108108108108103,3.ギヤサブ・共通部品,40.0,1.0122994381738122,0.925,0.8378378378378378,1.096774193548387,0.85,6.585666666666665
65,3040052001B    ,2023,39,3.0,42.0,36.0,0.52,0.8869874408742456,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500.0,0.935,0.24,0.23500000000000032,0.30000000000000004,1.1749999999999998,（株）青山製作所,46.0,40.588,2.259615384615384,1.3247087228674614,0.6560367333919197,0.08,0.31745684390939055,99.955,464.0,0.0,0.5359477124183005,0.3529411764705883,3.ギヤサブ・共通部品,44.0,1.084064255444959,0.9545454545454546,0.8571428571428571,1.2777777777777777,1.0454545454545454,6.764666666666667
68,33490ECB010    ,2023,36,54.0,435.0,464.0,0.82,0.8505973773676542,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4.0,1.97,0.20000000000000015,0.5899999999999999,0.1599999999999997,0.9900000000000002,マレリ（株）,515.0,516.75,1.2073170731707321,1.1638879055373479,0.42479379801054906,0.23,0.1897151257990826,99.89500000000001,480.0,-0.20588235294117652,-0.2442748091603052,2.6267605633802815,7.ファイナル前半,491.0,0.9501693275278181,0.8859470468431772,1.0666666666666667,1.1099137931034482,1.0488798370672099,258.375
