,品番,Year,Week_Number,在庫数（箱）,入庫数（箱）,出庫数（箱）
288,35145ECE010    ,2023,36,7.0,24.0,23.0
289,35145ECE010    ,2023,37,7.0,26.0,23.0
290,35145ECE010    ,2023,38,6.0,24.0,22.0
291,35145ECE010    ,2023,39,7.0,26.0,23.0
292,35145ECE020    ,2023,34,7.0,0.0,0.0
293,35145ECE020    ,2023,35,5.5,20.0,20.0
294,35145ECE020    ,2023,36,6.0,23.0,25.0
295,35145ECE020    ,2023,37,5.0,24.0,23.0
296,35145ECE020    ,2023,38,5.0,22.0,22.0
297,35145ECE020    ,2023,39,7.0,24.0,24.0
298,35165ECE010    ,2023,34,7.0,0.0,0.0
299,35165ECE010    ,2023,35,7.0,9.0,9.0
300,35165ECE010    ,2023,36,7.0,10.0,13.0
301,35165ECE010    ,2023,37,4.0,11.0,11.0
302,35165ECE010    ,2023,38,5.0,13.0,12.0
303,35165ECE010    ,2023,39,4.0,10.0,11.0
304,351680LC030    ,2023,34,12.0,0.0,0.0
305,351680LC030    ,2023,35,12.0,38.0,37.0
306,351680LC030    ,2023,36,16.0,51.0,53.0
307,351680LC030    ,2023,37,15.0,54.0,52.0
308,351680LC030    ,2023,38,15.0,53.0,52.0
309,351680LC030    ,2023,39,15.0,53.0,51.0
310,351710LC010    ,2023,34,54.0,0.0,0.0
311,351710LC010    ,2023,35,46.5,93.0,111.0
312,351710LC010    ,2023,36,49.0,148.0,156.0
313,351710LC010    ,2023,37,45.0,136.0,158.0
314,351710LC010    ,2023,38,46.0,143.0,159.0
315,351710LC010    ,2023,39,49.0,138.0,156.0
316,351720LC010    ,2023,34,8.0,0.0,0.0
317,351720LC010    ,2023,35,8.0,10.0,9.0
318,351720LC010    ,2023,36,7.0,13.0,13.0
319,351720LC010    ,2023,37,7.0,12.0,12.0
320,351720LC010    ,2023,38,7.0,13.0,12.0
321,351720LC010    ,2023,39,6.0,13.0,12.0
322,35174ECB010    ,2023,34,22.0,0.0,0.0
323,35174ECB010    ,2023,35,18.0,64.0,66.0
324,35174ECB010    ,2023,36,16.0,88.0,93.0
325,35174ECB010    ,2023,37,14.0,83.0,90.0
326,35174ECB010    ,2023,38,13.0,81.0,86.0
327,35174ECB010    ,2023,39,17.0,92.0,92.0
328,35174ECE010    ,2023,34,21.0,0.0,0.0
329,35174ECE010    ,2023,35,16.0,48.0,49.0
330,35174ECE010    ,2023,36,15.5,54.0,60.0
331,35174ECE010    ,2023,37,15.0,55.0,57.0
332,35174ECE010    ,2023,38,15.0,51.0,56.0
333,35174ECE010    ,2023,39,17.0,57.0,57.0
334,35174ECE020    ,2023,34,10.0,0.0,0.0
335,35174ECE020    ,2023,35,10.0,23.0,22.0
336,35174ECE020    ,2023,36,9.0,25.0,28.0
337,35174ECE020    ,2023,37,8.0,26.0,26.0
338,35174ECE020    ,2023,38,8.0,27.0,25.0
339,35174ECE020    ,2023,39,11.0,28.0,26.0
340,3519510A010    ,2023,34,4.0,0.0,0.0
341,3519510A010    ,2023,35,4.0,1.0,2.0
342,3519510A010    ,2023,36,3.0,2.0,3.0
343,3519510A010    ,2023,37,2.0,4.0,3.0
344,3519510A010    ,2023,38,2.0,3.0,3.0
345,3519510A010    ,2023,39,2.0,3.0,3.0
346,35195ECE010    ,2023,34,8.0,0.0,0.0
347,35195ECE010    ,2023,35,8.0,10.0,9.0
348,35195ECE010    ,2023,36,7.0,12.0,12.0
349,35195ECE010    ,2023,37,8.0,13.0,12.0
350,35195ECE010    ,2023,38,6.0,13.0,11.0
351,35195ECE010    ,2023,39,8.0,12.0,12.0
352,35195TFG010    ,2023,34,6.0,0.0,0.0
353,35195TFG010    ,2023,35,7.0,12.0,10.0
354,35195TFG010    ,2023,36,6.0,11.0,12.0
355,35195TFG010    ,2023,37,5.5,13.0,12.0
356,35195TFG010    ,2023,38,5.0,13.0,11.0
357,35195TFG010    ,2023,39,5.5,13.0,13.0
358,351980LC020    ,2023,34,6.0,0.0,0.0
359,351980LC020    ,2023,35,6.0,5.0,4.0
360,351980LC020    ,2023,36,6.0,7.0,7.0
361,351980LC020    ,2023,37,6.0,7.0,6.0
362,351980LC020    ,2023,38,6.0,7.0,6.0
363,351980LC020    ,2023,39,6.0,5.0,6.0
364,351980LC030    ,2023,34,13.0,0.0,0.0
365,351980LC030    ,2023,35,12.0,15.0,18.0
366,351980LC030    ,2023,36,12.0,20.0,25.0
367,351980LC030    ,2023,37,12.0,22.0,24.0
368,351980LC030    ,2023,38,12.0,21.0,25.0
369,351980LC030    ,2023,39,11.0,22.0,26.0
370,351980LC040    ,2023,34,6.0,0.0,0.0
371,351980LC040    ,2023,35,6.0,4.0,4.0
372,351980LC040    ,2023,36,6.0,5.0,7.0
373,351980LC040    ,2023,37,6.0,4.0,6.0
374,351980LC040    ,2023,38,6.0,5.0,6.0
375,351980LC040    ,2023,39,6.0,6.0,6.0
376,351988LA010    ,2023,34,6.0,0.0,0.0
377,351988LA010    ,2023,35,6.0,4.0,3.0
378,351988LA010    ,2023,36,6.0,5.0,5.0
379,351988LA010    ,2023,37,6.0,4.0,4.0
380,351988LA010    ,2023,38,6.0,5.0,4.0
381,351988LA010    ,2023,39,6.0,4.0,5.0
382,35198ECE010    ,2023,34,6.0,0.0,0.0
383,35198ECE010    ,2023,35,6.0,10.0,9.0
384,35198ECE010    ,2023,36,6.0,12.0,12.0
385,35198ECE010    ,2023,37,6.0,13.0,12.0
386,35198ECE010    ,2023,38,6.0,13.0,11.0
387,35198ECE010    ,2023,39,6.0,10.0,12.0
388,352400LC020    ,2023,34,4.0,0.0,0.0
389,352400LC020    ,2023,35,4.0,14.0,10.0
390,352400LC020    ,2023,36,7.0,13.0,13.0
391,352400LC020    ,2023,37,5.5,14.0,12.0
392,352400LC020    ,2023,38,6.0,15.0,13.0
393,352400LC020    ,2023,39,6.0,12.0,12.0
394,352450LC010    ,2023,34,4.0,0.0,0.0
395,352450LC010    ,2023,35,4.0,6.0,5.0
396,352450LC010    ,2023,36,6.0,7.0,8.0
397,352450LC010    ,2023,37,5.0,9.0,6.0
398,352450LC010    ,2023,38,6.0,8.0,8.0
399,352450LC010    ,2023,39,6.0,9.0,7.0
400,35246TFG010    ,2023,34,4.0,0.0,0.0
401,35246TFG010    ,2023,35,5.0,1.0,0.0
402,35246TFG010    ,2023,36,1.0,0.0,0.0
403,35246TFG010    ,2023,37,1.0,0.0,0.0
404,35246TFG010    ,2023,38,1.0,0.0,1.0
405,35246TFG010    ,2023,39,1.0,0.0,0.0
406,35275TBG010    ,2023,34,4.0,0.0,0.0
407,35275TBG010    ,2023,35,4.0,7.0,7.0
408,35275TBG010    ,2023,36,5.0,8.0,9.0
409,35275TBG010    ,2023,37,4.0,10.0,10.0
410,35275TBG010    ,2023,38,4.0,10.0,9.0
411,35275TBG010    ,2023,39,5.0,10.0,9.0
412,352800LA010    ,2023,34,11.0,0.0,0.0
413,352800LA010    ,2023,35,9.0,22.0,25.0
414,352800LA010    ,2023,36,10.0,29.0,32.0
415,352800LA010    ,2023,37,8.0,30.0,31.0
416,352800LA010    ,2023,38,8.0,28.0,33.0
417,352800LA010    ,2023,39,8.0,28.0,31.0
418,35300ECB010    ,2023,34,127.0,0.0,0.0
419,35300ECB010    ,2023,35,142.5,302.0,273.0
420,35300ECB010    ,2023,36,121.5,323.0,352.0
421,35300ECB010    ,2023,37,134.0,328.0,339.0
422,35300ECB010    ,2023,38,126.5,270.0,331.0
423,35300ECB010    ,2023,39,128.0,349.0,342.0
424,35312ECB010    ,2023,34,10.0,0.0,0.0
425,35312ECB010    ,2023,35,7.0,16.0,19.0
426,35312ECB010    ,2023,36,6.0,30.0,29.0
427,35312ECB010    ,2023,37,5.0,30.0,27.0
428,35312ECB010    ,2023,38,5.0,31.0,27.0
429,35312ECB010    ,2023,39,5.0,32.0,29.0
430,35352ECB010    ,2023,34,3.0,0.0,0.0
431,35352ECB010    ,2023,35,3.0,2.0,3.0
432,35352ECB010    ,2023,36,2.0,3.0,3.0
433,35352ECB010    ,2023,37,1.0,4.0,1.0
434,35352ECB010    ,2023,38,2.0,4.0,3.0
435,35352ECB010    ,2023,39,2.0,3.0,4.0
436,3539450A010    ,2023,34,3.0,0.0,0.0
437,3539450A010    ,2023,35,2.5,4.0,4.0
438,3539450A010    ,2023,36,2.0,6.0,6.0
439,3539450A010    ,2023,37,2.0,6.0,4.0
440,3539450A010    ,2023,38,3.0,5.0,6.0
441,3539450A010    ,2023,39,3.0,5.0,4.0
442,35409ECB010    ,2023,34,6.0,0.0,0.0
443,35409ECB010    ,2023,35,6.0,6.0,7.0
444,35409ECB010    ,2023,36,5.0,7.0,9.0
445,35409ECB010    ,2023,37,3.0,9.0,8.0
446,35409ECB010    ,2023,38,3.0,10.0,9.0
447,35409ECB010    ,2023,39,2.5,9.0,9.0
448,354110LC030    ,2023,34,42.0,0.0,0.0
449,354110LC030    ,2023,35,40.0,132.0,126.0
450,354110LC030    ,2023,36,44.0,155.0,162.0
451,354110LC030    ,2023,37,41.0,157.0,156.0
452,354110LC030    ,2023,38,42.5,168.0,163.0
453,354110LC030    ,2023,39,46.0,159.0,156.0
454,35419TRA010    ,2023,34,5.0,0.0,0.0
455,35419TRA010    ,2023,35,4.0,2.0,2.0
456,35419TRA010    ,2023,36,4.0,3.0,2.0
457,35419TRA010    ,2023,37,4.0,3.0,2.0
458,35419TRA010    ,2023,38,4.0,3.0,3.0
459,35419TRA010    ,2023,39,5.0,2.0,3.0
460,354210LC040    ,2023,34,4.0,0.0,0.0
461,354210LC040    ,2023,35,4.0,5.0,4.0
462,354210LC040    ,2023,36,6.0,6.0,7.0
463,354210LC040    ,2023,37,5.0,7.0,7.0
464,354210LC040    ,2023,38,5.0,7.0,7.0
465,354210LC040    ,2023,39,6.0,7.0,7.0
466,354260LC010    ,2023,34,34.0,0.0,0.0
467,354260LC010    ,2023,35,38.0,119.0,102.0
468,354260LC010    ,2023,36,43.0,151.0,140.0
469,354260LC010    ,2023,37,41.5,159.0,141.0
470,354260LC010    ,2023,38,40.5,156.0,139.0
471,354260LC010    ,2023,39,43.0,154.0,141.0
472,354320LC040    ,2023,34,8.0,0.0,0.0
473,354320LC040    ,2023,35,8.0,10.0,9.0
474,354320LC040    ,2023,36,9.0,13.0,13.0
475,354320LC040    ,2023,37,9.0,13.0,12.0
476,354320LC040    ,2023,38,8.0,14.0,12.0
477,354320LC040    ,2023,39,9.0,13.0,13.0
478,35441ECB010    ,2023,34,33.0,0.0,0.0
479,35441ECB010    ,2023,35,28.0,58.0,69.0
480,35441ECB010    ,2023,36,27.0,89.0,91.0
481,35441ECB010    ,2023,37,21.5,76.0,86.0
482,35441ECB010    ,2023,38,25.0,88.0,82.0
483,35441ECB010    ,2023,39,22.0,98.0,85.0
484,35441TFA010    ,2023,34,8.0,0.0,0.0
485,35441TFA010    ,2023,35,7.0,12.0,14.0
486,35441TFA010    ,2023,36,6.0,16.0,18.0
487,35441TFA010    ,2023,37,4.0,15.0,17.0
488,35441TFA010    ,2023,38,3.0,19.0,17.0
489,35441TFA010    ,2023,39,4.0,22.0,17.0
490,354710LC010    ,2023,34,11.0,0.0,0.0
491,354710LC010    ,2023,35,11.0,26.0,22.0
492,354710LC010    ,2023,36,12.0,29.0,29.0
493,354710LC010    ,2023,37,11.0,31.0,28.0
494,354710LC010    ,2023,38,11.0,32.0,29.0
495,354710LC010    ,2023,39,11.0,24.0,28.0
496,354820LC010    ,2023,34,5.0,0.0,0.0
497,354820LC010    ,2023,35,4.0,2.0,2.0
498,354820LC010    ,2023,36,5.0,3.0,2.0
499,354820LC010    ,2023,37,5.0,3.0,3.0
500,354820LC010    ,2023,38,5.0,3.0,3.0
501,354820LC010    ,2023,39,5.0,2.0,2.0
502,3548255A010    ,2023,34,7.0,0.0,0.0
503,3548255A010    ,2023,35,7.0,7.0,6.0
