,品番,Year,Week_Number,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,箱種類,A,B,C,収容数,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収回収LT）,仕入先名,回収かんばん数,日量数（箱数）
70,33490ECB010    ,2023,38,0.82,0.8505973773676542,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,1.99,0.4000000000000004,0.5499999999999998,0.16999999999999993,0.9699999999999998,マレリ（株）,473,468.25
71,33490ECB010    ,2023,39,0.82,0.8505973773676542,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,2.7299999999999995,0.15000000000000036,0.7199999999999998,0.18000000000000016,1.1399999999999997,マレリ（株）,511,491.5
72,33490ECE010    ,2023,35,0.81,0.81,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,3.96,0.2599999999999998,0.8799999999999999,0.14999999999999947,1.3200000000000005,マレリ（株）,495,0.0
73,33490ECE010    ,2023,35,0.81,0.8338230289279638,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,1.9649999999999999,0.3700000000000001,0.78,0.14000000000000012,1.31,マレリ（株）,198,121.75
74,33490ECE010    ,2023,36,0.81,0.8338230289279638,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,1.97,0.2599999999999998,0.7600000000000005,0.1200000000000001,1.1900000000000004,マレリ（株）,680,665.0
75,33490ECE010    ,2023,37,0.81,0.8338230289279638,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,2.0,0.2599999999999998,0.6399999999999997,0.14000000000000012,1.1399999999999997,マレリ（株）,651,623.0
76,33490ECE010    ,2023,38,0.81,0.8338230289279638,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,1.99,0.25,0.7699999999999996,0.14999999999999947,1.2299999999999995,マレリ（株）,628,613.25
77,33490ECE010    ,2023,39,0.81,0.8338230289279638,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,2.7299999999999995,0.14000000000000012,0.9500000000000002,0.14000000000000054,1.35,マレリ（株）,640,621.5
78,34989ECB010    ,2023,35,0.81,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,3.24,0.5100000000000002,16.82,3.3049999999999993,20.634999999999998,（株）槌屋,2,0.0
79,34989ECB010    ,2023,36,0.81,2.886740506329114,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,2.24,0.3300000000000001,11.33,2.0200000000000014,13.73,（株）槌屋,3,1.554
80,34989ECB010    ,2023,37,0.81,2.886740506329114,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,3.2199999999999998,0.39500000000000024,10.45,2.9750000000000005,13.82,（株）槌屋,2,0.9840000000000001
81,34989ECB010    ,2023,38,0.81,2.886740506329114,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,4.23,0.33999999999999986,8.790000000000001,2.1399999999999992,11.23,（株）槌屋,3,0.9359999999999999
