,品番,Year,Week_Number,在庫数（箱）,入庫数（箱）,出庫数（箱）,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,箱種類,A,B,C,収容数,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収回収LT）,仕入先名,回収かんばん数,日量数（箱数）,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,順立装置在庫量/設計値MIN,不等ピッチ係数,順立装置在庫量/設計値MAX
48,2030045013L    ,2023,35,2.0,4.0,4.0,0.53,0.53,3.0,ＴＰ３３１フタナシ,1.0,1.0,1.96,2000,2.04,0.31000000000000005,6.3199999999999985,0.25000000000000044,6.774999999999999,伊藤金属工業（株）,4,0.0,12.783018867924525,12.783018867924525,inf,0.0,0.0
49,2030045013L    ,2023,35,2.0,4.0,4.0,0.53,3.1437825166991664,3.0,ＴＰ３３１フタナシ,1.0,1.0,1.96,2000,2.005,0.395,1.0050000000000001,0.11500000000000021,1.5150000000000001,伊藤金属工業（株）,2,1.1235,2.858490566037736,0.48190356424231395,6.01402470561349,0.0,0.2780210575706033
50,2030045013L    ,2023,36,3.0,7.0,5.0,0.53,3.1437825166991664,3.0,ＴＰ３３１フタナシ,1.0,1.0,1.96,2000,2.04,0.3400000000000003,0.27,0.08999999999999986,0.7999999999999998,伊藤金属工業（株）,5,4.843500000000001,1.5094339622641506,0.25447052897283895,2.092522996827735,0.0,0.4179321887367542
51,2030045013L    ,2023,37,2.0,4.0,7.0,0.53,3.1437825166991664,3.0,ＴＰ３３１フタナシ,1.0,1.0,1.96,2000,4.0200000000000005,0.3799999999999999,3.78,0.9300000000000002,6.85,伊藤金属工業（株）,7,5.675,12.924528301886792,2.178903904329934,1.1906179307060365,0.0,0.2797450095427513
52,2030045013L    ,2023,38,2.0,5.0,5.0,0.53,3.1437825166991664,3.0,ＴＰ３３１フタナシ,1.0,1.0,1.96,2000,2.04,0.13999999999999968,0.4899999999999998,1.1500000000000004,5.62,伊藤金属工業（株）,5,4.4245,10.60377358490566,1.7876554660341941,1.5271232357908817,0.0,0.32399954180045615
53,2030045013L    ,2023,39,2.0,6.0,4.0,0.53,3.1437825166991664,3.0,ＴＰ３３１フタナシ,1.0,1.0,1.96,2000,2.045,0.3800000000000003,4.405,1.0549999999999997,6.659999999999999,伊藤金属工業（株）,6,4.638999999999999,12.566037735849054,2.1184671536988846,1.4565114802234873,0.0,0.3160825247614719
54,2030052002N    ,2023,35,3.0,10.0,11.0,0.5,0.5,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300,0.55,0.18999999999999995,1.2200000000000002,0.7300000000000004,3.72,（株）杉浦製作所,11,0.0,7.44,7.44,inf,0.12,0.0
55,2030052002N    ,2023,35,3.0,10.0,11.0,0.5,1.5045710641012011,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300,0.55,0.18999999999999995,0.98,0.7599999999999998,1.7399999999999998,（株）杉浦製作所,5,2.933333333333333,3.4799999999999995,1.156475783375137,9.929390997352161,0.12,0.2599039805555018
56,2030052002N    ,2023,36,3.0,14.0,14.0,0.5,1.5045710641012011,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300,0.55,0.22,1.0,0.55,1.97,（株）杉浦製作所,15,15.756666666666668,3.94,1.3093432719821954,1.8485009684091183,0.12,0.28531572315156467
57,2030052002N    ,2023,37,2.0,16.0,15.0,0.5,1.5045710641012011,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300,0.54,0.20000000000000007,0.8900000000000001,0.79,1.81,（株）杉浦製作所,15,14.763333333333334,3.62,1.2030006712120678,1.3152501057680293,0.12,0.21197480795045184
58,2030052002N    ,2023,38,5.0,13.0,13.0,0.5,1.5045710641012011,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300,0.51,0.18999999999999995,0.7050000000000001,0.45500000000000007,2.5300000000000002,（株）杉浦製作所,16,14.42,5.0600000000000005,1.681542374677642,3.3664139611919794,0.12,0.4425791616714782
59,2030052002N    ,2023,39,4.0,19.0,14.0,0.5,1.5045710641012011,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300,0.55,0.18999999999999995,2.03,0.46,2.63,（株）杉浦製作所,13,14.840000000000002,5.26,1.7480065001589713,2.6169104754926327,0.12,0.37109502014090956
60,3040052001B    ,2023,35,2.0,30.0,29.0,0.52,0.52,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,0.93,0.28000000000000014,0.26,0.29500000000000015,1.0,（株）青山製作所,28,0.0,1.923076923076923,1.923076923076923,inf,0.08,0.0
61,3040052001B    ,2023,35,2.0,30.0,29.0,0.52,0.8869874408742456,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,0.92,0.31000000000000005,0.3400000000000001,0.30000000000000004,0.9700000000000002,（株）青山製作所,13,8.013999999999998,1.8653846153846156,1.0935893286650535,2.215058558764766,0.08,0.5061464878869452
62,3040052001B    ,2023,36,3.0,39.0,38.0,0.52,0.8869874408742456,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,0.91,0.21,0.2350000000000001,0.2400000000000001,0.8900000000000001,（株）青山製作所,38,43.135999999999996,1.7115384615384617,1.0033963943421624,0.6172853054272823,0.08,0.3011014701649815
63,3040052001B    ,2023,37,2.0,30.0,23.0,0.52,0.8869874408742456,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,0.91,0.15999999999999992,0.23,0.4099999999999997,0.79,（株）青山製作所,37,40.416000000000004,1.5192307692307692,0.8906552264385487,0.43921910357137833,0.08,0.21748541161939047
64,3040052001B    ,2023,38,3.0,37.0,31.0,0.52,0.8869874408742456,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,0.925,0.215,0.17500000000000027,0.30500000000000005,0.7649999999999999,（株）青山製作所,34,39.51399999999999,1.4711538461538458,0.8624699344626451,0.6738679691985435,0.08,0.3248428565474063
65,3040052001B    ,2023,39,3.0,42.0,36.0,0.52,0.8869874408742456,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,0.935,0.24,0.23500000000000032,0.30000000000000004,1.1749999999999998,（株）青山製作所,46,40.588,2.259615384615384,1.3247087228674614,0.6560367333919197,0.08,0.31745684390939055
66,33490ECB010    ,2023,35,68.0,347.0,332.0,0.82,0.82,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,3.96,0.3100000000000005,0.79,0.1900000000000004,1.3499999999999996,マレリ（株）,323,0.0,1.6463414634146338,1.6463414634146338,inf,0.23,0.0
67,33490ECB010    ,2023,35,68.0,347.0,332.0,0.82,0.8505973773676542,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,1.97,0.3100000000000005,0.7650000000000001,0.18999999999999995,1.31,マレリ（株）,142,98.25,1.5975609756097562,1.5400940972261874,2.813463249136308,0.23,1.1961099005834888
68,33490ECB010    ,2023,36,54.0,435.0,464.0,0.82,0.8505973773676542,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,1.97,0.20000000000000015,0.5899999999999999,0.1599999999999997,0.9900000000000002,マレリ（株）,515,516.75,1.2073170731707321,1.1638879055373479,0.42479379801054906,0.23,0.1897151257990826
69,33490ECB010    ,2023,37,39.0,444.0,436.0,0.82,0.8505973773676542,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,2.0,0.3799999999999999,0.4299999999999997,0.16000000000000014,0.91,マレリ（株）,495,484.25,1.1097560975609757,1.069836357615138,0.32738582419381246,0.23,0.14625097668731618
70,33490ECB010    ,2023,38,46.0,410.0,432.0,0.82,0.8505973773676542,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,1.99,0.4000000000000004,0.5499999999999998,0.16999999999999993,0.9699999999999998,マレリ（株）,473,468.25,1.1829268292682924,1.140375018556795,0.3993419539107297,0.23,0.1783382305976262
71,33490ECB010    ,2023,39,77.5,507.0,464.0,0.82,0.8505973773676542,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,2.7299999999999995,0.15000000000000036,0.7199999999999998,0.18000000000000016,1.1399999999999997,マレリ（株）,511,491.5,1.390243902439024,1.340234557891491,0.6409779255473125,0.23,0.28601376672201445
72,33490ECE010    ,2023,35,109.0,512.0,502.0,0.81,0.81,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,3.96,0.2599999999999998,0.8799999999999999,0.14999999999999947,1.3200000000000005,マレリ（株）,495,0.0,1.6296296296296302,1.6296296296296302,inf,0.23,0.0
73,33490ECE010    ,2023,35,109.0,512.0,502.0,0.81,0.8338230289279638,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,1.9649999999999999,0.3700000000000001,0.78,0.14000000000000012,1.31,マレリ（株）,198,121.75,1.6172839506172838,1.5710767807459711,3.6393382414316955,0.23,1.5438691500816315
74,33490ECE010    ,2023,36,98.0,605.0,620.0,0.81,0.8338230289279638,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,1.97,0.2599999999999998,0.7600000000000005,0.1200000000000001,1.1900000000000004,マレリ（株）,680,665.0,1.469135802469136,1.4271613504486307,0.599058622165169,0.23,0.267504440624406
75,33490ECE010    ,2023,37,74.5,592.0,588.0,0.81,0.8338230289279638,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,2.0,0.2599999999999998,0.6399999999999997,0.14000000000000012,1.1399999999999997,マレリ（株）,651,623.0,1.407407407407407,1.3671965878247379,0.4861083923840843,0.23,0.21711501115122378
76,33490ECE010    ,2023,38,92.0,546.0,574.0,0.81,0.8338230289279638,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,1.99,0.25,0.7699999999999996,0.14999999999999947,1.2299999999999995,マレリ（株）,628,613.25,1.518518518518518,1.4751331605477431,0.6098389561147955,0.23,0.2722720465459147
77,33490ECE010    ,2023,39,122.5,639.0,581.0,0.81,0.8338230289279638,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,2.7299999999999995,0.14000000000000012,0.9500000000000002,0.14000000000000054,1.35,マレリ（株）,640,621.5,1.6666666666666667,1.6190485908450847,0.8012348828234864,0.23,0.3575324581957199
78,34989ECB010    ,2023,35,4.0,1.0,2.0,0.81,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,3.24,0.5100000000000002,16.82,3.3049999999999993,20.634999999999998,（株）槌屋,2,0.0,25.475308641975303,25.475308641975303,inf,0.0,0.0
79,34989ECB010    ,2023,36,3.0,1.0,3.0,0.81,2.886740506329114,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,2.24,0.3300000000000001,11.33,2.0200000000000014,13.73,（株）槌屋,3,1.554,16.950617283950617,4.756229377007488,5.797303094600391,0.0,0.40382268815858813
80,34989ECB010    ,2023,37,2.0,2.0,2.0,0.81,2.886740506329114,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,3.2199999999999998,0.39500000000000024,10.45,2.9750000000000005,13.82,（株）槌屋,2,0.9840000000000001,17.061728395061728,4.7874064086120525,6.103664640250004,0.0,0.2802351033422346
