KUMI_CD,LINE_CD,LINE_SUB_CD,KANRIBAN_CD,LINE_DATE,TYOKU_KBN,OFFICE_HOURS,WORKING_HOURS,LINE_START_TIME,LINE_END_TIME,LINE_STOP_HOURS,MACHINE_STOP_HOURS,HINPATU_STOP_CNT,HINPATU_STOP_TIME,HURYOU_QUANT_CNT,HURYOU_WEIGHT_CNT,TENAOSHI_CNT,HORYUU_CNT,LAST_SERIAL_NO,OPERATION_RATE,SPEC_OPERATION_RATE,OVERALL_EQUIPMENT_EFFICIENCY,TARGET_AVAILABLE_RATE,AVAILABLE_HOURS,KAKO_CNT,AVAILABLE_RATE,HURYOU_RATE,CHOKO_RATE,KANKEN_NG_RATE,SYUTUKEN_NG_RATE,DIRECT_MANHOURS,TOTAL_MANHOURS,TOTAL_TIME,DIRECT_TIME,INDIRECT_TIME,NOTES,KANRIBAN_STAFF_CD,CREATE_STAFF_CD,CREATE_TIME,UPDATE_STAFF_CD,UPDATE_TIME,FIRST_SERIAL_NO,KANSEI_SHOUNIN_STAFF,AUTHOR,PDF_NAME,HUB_CD
NH12,AS2650,A,M01,2023/9/17 0:00,2,690,0,2023/9/17 22:00,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0,0,0,< NULL >,0,0,0,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,SYS_TT,M01,2023/9/17 8:03,SYS_TT,2023/9/17 8:15,< NULL >,< NULL >,< NULL >,< NULL >,IN000
NH12,AS2610,A,M01,2023/9/18 0:00,2,690,429,2023/9/18 22:00,2023/9/19 6:50,0,0,< NULL >,< NULL >,0,0,0,0,23J2Y10686,99.81,100.23,100.05,< NULL >,0,464,100.05,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,31853,M01,2023/9/18 8:01,31853,2023/9/19 10:02,23J2U10225,31853,39320,< NULL >,IN000
NH11,AS2610,A,M01,2023/9/18 0:00,1,750,429,2023/9/18 8:30,2023/9/18 17:15,0,0,< NULL >,< NULL >,0,0,0,0,23J2U10224,95.71,75.24,72.02,< NULL >,0,334,72.02,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,29700,M01,2023/9/18 8:00,29700,2023/9/18 19:12,23J2U09995,31853,29700,< NULL >,IN000
NH11,AS2650,A,M01,2023/9/18 0:00,1,750,429,2023/9/18 8:30,2023/9/18 17:15,0,0,< NULL >,< NULL >,0,0,0,0,23J2U10289,100,71.37,71.37,< NULL >,0,331,71.37,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,31853,M01,2023/9/18 8:01,31853,2023/9/18 18:12,23J2Y09947,31853,33728,< NULL >,IN000
NH12,AS2650,A,M01,2023/9/18 0:00,2,690,429,2023/9/18 22:00,2023/9/19 6:50,0,0,< NULL >,< NULL >,0,0,0,0,23J2Y10748,100,100.05,100.05,< NULL >,0,464,100.05,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,31853,M01,2023/9/18 8:02,31853,2023/9/19 10:03,23J2U10290,31853,45037,< NULL >,IN000
NH12,AS2610,A,M01,2023/9/19 0:00,2,690,429,2023/9/19 22:00,2023/9/20 6:50,0,0,< NULL >,< NULL >,0,0,0,0,23J2U11592,95.13,100.18,95.3,< NULL >,0,442,95.3,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,31853,M01,2023/9/19 8:01,31853,2023/9/20 9:25,23J2Y11151,31853,43099,< NULL >,IN000
NH11,AS2610,A,M01,2023/9/19 0:00,1,750,429,2023/9/19 8:30,2023/9/19 17:15,0,0,< NULL >,< NULL >,0,0,0,0,23J2Y11150,99.74,100.3,100.05,< NULL >,0,464,100.05,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,29700,M01,2023/9/19 8:00,29700,2023/9/19 20:06,23J2Y10687,31853,29700,< NULL >,IN000
NH11,AS2650,A,M01,2023/9/19 0:00,1,750,429,2023/9/19 8:30,2023/9/19 17:15,0,0,< NULL >,< NULL >,0,0,0,0,23J2Y11210,100,100.05,100.05,< NULL >,0,464,100.05,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,31853,M01,2023/9/19 8:01,31853,2023/9/19 19:12,23J2Y10749,31853,33728,< NULL >,IN000
NH12,AS2650,A,M01,2023/9/19 0:00,2,690,429,2023/9/19 22:00,2023/9/20 6:50,0,0,< NULL >,< NULL >,0,0,0,0,23J2Y11652,100,88.43,88.43,< NULL >,0,442,88.43,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,31853,M01,2023/9/19 8:02,31853,2023/9/20 9:26,23J2Y11211,31853,45037,< NULL >,IN000
NH12,AS2610,A,M01,2023/9/20 0:00,2,690,429,2023/9/20 22:00,2023/9/21 6:50,0,0,< NULL >,< NULL >,0,0,0,0,23J2U12519,99.81,100.23,100.05,< NULL >,0,464,100.05,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,31853,M01,2023/9/20 8:01,31853,2023/9/21 8:20,23J2Y12056,31853,39320,< NULL >,IN000
