,品番,年,週番号,在庫数（箱）,入庫数（箱）,出庫数（箱）,仕入先名,日量数（箱数）,発注～印刷LT,発注～検収LT,発注～順立装置入庫LT,発注～順立装置出庫LT,発注～回収LT,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,箱種類,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,回収かんばん数,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収～回収LT）,不等ピッチ係数,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,順立装置在庫量/設計値MIN,順立装置在庫量/設計値MAX
143,9036630A017    ,2023,36,15.0,60.0,58.0,（株）ジェイテクト,12.430555555555555,0.09,2.03,2.62,5.15,5.61,0.81,1.049547521348564,3,TP341ﾌﾀﾅｼ,1,6,4.92,65,1.9399999999999997,0.5900000000000003,2.5300000000000002,0.45999999999999996,3.5800000000000005,0.0,4.419753086419753,3.410993716034941,12.23010720217424,1.0051332665719868
144,9036630A017    ,2023,37,11.0,63.0,56.0,（株）ジェイテクト,12.430555555555555,0.09,2.02,2.285,4.75,5.16,0.81,1.049547521348564,3,TP341ﾌﾀﾅｼ,1,6,4.92,62,1.93,0.2650000000000001,2.465,0.41000000000000014,3.14,0.0,3.876543209876543,2.9917654380865124,8.968745281594444,0.9432318226752119
145,9036630A017    ,2023,38,13.5,59.0,55.0,（株）ジェイテクト,12.430555555555555,0.09,2.02,2.32,4.855,5.18,0.81,1.049547521348564,3,TP341ﾌﾀﾅｼ,1,6,4.92,60,1.93,0.2999999999999998,2.5350000000000006,0.3249999999999993,3.1599999999999997,0.0,3.901234567901234,3.0108212689023497,11.007096481956816,0.9853738752118838
146,9036630A018    ,2023,36,22.0,116.0,112.0,（株）ジェイテクト,23.552631578947373,0.09,2.03,2.62,4.67,4.82,0.54,0.6664278584895198,3,TP341ﾌﾀﾅｼ,1,6,4.92,123,1.9399999999999997,0.5900000000000003,2.05,0.15000000000000036,2.7900000000000005,0.0,5.166666666666667,4.186499655527045,9.467008908349689,1.5099437603244568
147,9036630A018    ,2023,37,16.0,121.0,108.0,（株）ジェイテクト,23.552631578947373,0.09,2.02,2.29,4.57,4.78,0.54,0.6664278584895198,3,TP341ﾌﾀﾅｼ,1,6,4.92,119,1.93,0.27,2.2800000000000002,0.20999999999999996,2.7600000000000002,0.0,5.111111111111112,4.141483530198796,6.885097387890682,1.3346493461555002
148,9036630A018    ,2023,38,19.0,112.0,103.0,（株）ジェイテクト,23.552631578947373,0.09,2.02,2.31,4.81,5.05,0.54,0.6664278584895198,3,TP341ﾌﾀﾅｼ,1,6,4.92,113,1.93,0.29000000000000004,2.4999999999999996,0.2400000000000002,3.03,0.0,5.611111111111111,4.5466286581530255,8.176053148120186,1.4308173466761682
149,9036652A003    ,2023,36,12.0,41.0,40.0,（株）ジェイテクト,8.641666666666666,0.09,2.03,2.63,5.42,5.855,0.81,1.151588385994876,3,TP341ﾌﾀﾅｼ,1,6,4.92,44,1.9399999999999997,0.6000000000000001,2.79,0.4350000000000005,3.8250000000000006,0.0,4.722222222222222,3.321499284395371,14.073861711277333,0.752529306385462
150,9036652A003    ,2023,37,9.0,43.0,38.0,（株）ジェイテクト,9.216666666666667,0.09,2.02,2.615,5.24,5.67,0.81,1.151588385994876,3,TP341ﾌﾀﾅｼ,1,6,4.92,42,1.93,0.5950000000000002,2.625,0.4299999999999997,3.65,0.0,4.506172839506172,3.1695352648478696,9.89687698548458,0.7566954029890548
151,9036652A003    ,2023,38,10.0,39.0,37.0,（株）ジェイテクト,8.516666666666667,0.09,2.02,2.48,5.305,5.745,0.81,1.151588385994876,3,TP341ﾌﾀﾅｼ,1,6,4.92,40,1.93,0.45999999999999996,2.8249999999999997,0.4400000000000004,3.725,0.0,4.598765432098765,3.2346627017967986,11.90035436610779,0.7275038277849064
152,9036652A004    ,2023,36,10.0,38.0,37.0,（株）ジェイテクト,8.492063492063492,0.09,2.03,2.485,4.91,5.305,0.81,1.16866780529462,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,42,1.9399999999999997,0.45500000000000007,2.4250000000000003,0.3949999999999996,3.275,0.0,4.04320987654321,2.802336117383139,9.42056074766355,0.8355489448731059
153,9036652A004    ,2023,37,7.0,42.0,36.0,（株）ジェイテクト,8.777777777777779,0.09,2.02,2.62,5.045,5.38,0.81,1.16866780529462,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,40,1.93,0.6000000000000001,2.425,0.33499999999999996,3.36,0.0,4.148148148148148,2.875068505162549,6.379746835443037,0.7766490332849586
154,9036652A004    ,2023,38,9.0,38.0,36.0,（株）ジェイテクト,8.11111111111111,0.09,2.02,2.34,5.27,5.6,0.81,1.16866780529462,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,39,1.93,0.31999999999999984,2.9299999999999997,0.33000000000000007,3.5799999999999996,0.0,4.419753086419752,3.063317038238668,8.876712328767121,0.7957527554604549
155,9036658A001    ,2023,36,9.0,40.0,40.0,（株）ジェイテクト,8.0,0.09,2.025,2.3200000000000003,4.605,4.855,0.81,1.1702401601067378,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,46,1.9349999999999998,0.2950000000000004,2.285,0.25,2.8300000000000005,0.0,3.4938271604938276,2.4183070248946814,9.0,0.7894736842105263
156,9036658A001    ,2023,37,5.0,44.0,38.0,（株）ジェイテクト,7.466666666666668,0.09,2.02,2.61,4.7,4.86,0.81,1.1702401601067378,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,43,1.93,0.5899999999999999,2.0900000000000003,0.16000000000000014,2.8400000000000003,0.0,3.506172839506173,2.426852279399609,5.357142857142857,0.6581421587062806
157,9036658A001    ,2023,38,5.0,39.0,36.0,（株）ジェイテクト,8.533333333333333,0.09,2.02,2.32,4.68,5.1,0.81,1.1702401601067378,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,40,1.93,0.2999999999999998,2.36,0.41999999999999993,3.0799999999999996,0.0,3.8024691358024683,2.6319383875178857,4.6875,0.689893066574681
158,9036658A002    ,2023,36,10.0,48.0,50.0,（株）ジェイテクト,10.0,0.09,2.03,2.33,4.695,5.18,0.81,1.0981921280853904,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,56,1.9399999999999997,0.30000000000000027,2.365,0.48499999999999943,3.15,0.0,3.8888888888888884,2.868350554917719,8.0,0.9090909090909091
159,9036658A002    ,2023,37,5.0,57.0,45.0,（株）ジェイテクト,9.333333333333334,0.09,2.02,2.37,3.445,4.87,0.81,1.0981921280853904,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,54,1.93,0.3500000000000001,1.0749999999999997,1.4250000000000003,2.85,0.0,3.5185185185185186,2.595174311592222,4.285714285714286,0.7056451612903226
