,品番,年,週番号,在庫数（箱）,入庫数（箱）,出庫数（箱）,仕入先名,日量数（箱数）,発注～印刷LT,発注～検収LT,発注～順立装置入庫LT,発注～順立装置出庫LT,発注～回収LT,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,箱種類,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,回収かんばん数,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収～回収LT）,不等ピッチ係数,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,順立装置在庫量/設計値MIN,順立装置在庫量/設計値MAX,時間稼働率,加工数,使用工程
160,9036324A003    ,2023,38,7.0,76.0,78.0,日本精工（株）,16.363636363636363,0.11,1.33,1.54,1.8,2.08,0.74,0.9161174116077384,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,77,1.22,0.21,0.26,0.28,0.75,0.09,1.0135135135135136,0.81867235629087,3.4222222222222225,0.8402036857419981,97.085,450.0,1.デフ・大物ギヤ・Brg
161,9036324A004    ,2023,38,17.5,129.0,134.0,日本精工（株）,27.93333333333333,0.11,1.32,1.54,2.135,2.29,0.74,0.8398114672285683,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,132,1.21,0.22,0.5949999999999998,0.15500000000000025,0.97,0.09,1.3108108108108107,1.1550211420678291,5.0119331742243425,1.3067568193726142,97.085,450.0,1.デフ・大物ギヤ・Brg
162,9036324A005    ,2023,38,16.5,101.0,103.0,日本精工（株）,21.727272727272727,0.14,1.31,1.54,2.24,2.43,0.74,0.8652490748647879,3,ﾃﾝﾊﾞｺ10ﾌﾀﾅｼ,1,8,9.0,103,1.17,0.23,0.7000000000000002,0.18999999999999995,1.12,0.09,1.5135135135135136,1.294424961014864,6.075313807531381,1.6704485394141098,97.085,450.0,1.デフ・大物ギヤ・Brg
163,9036340A010    ,2023,38,15.0,96.0,100.0,日本精工（株）,20.95,0.11,1.32,1.54,2.2350000000000003,2.62,0.76,0.8930819563047576,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,98,1.21,0.22,0.6950000000000003,0.3849999999999998,1.3,0.09,1.7105263157894737,1.4556334845000325,5.727923627684962,1.2486552370507895,97.085,450.0,
164,9036345A004    ,2023,38,12.0,37.0,44.0,岡谷鋼機（株）,9.944444444444443,0.13,2.44,2.85,5.725,5.93,0.87,1.1694344016857048,3,TP341ﾌﾀﾅｼ,1,6,4.92,48,2.31,0.41000000000000014,2.875,0.20500000000000007,3.49,0.0,4.011494252873563,2.9843486688687015,12.230107202174244,0.8342175557545587,97.085,450.0,4.TA・カバー・メイン
165,9036628A005    ,2023,38,5.0,30.0,28.0,（株）ジェイテクト,6.2,0.09,2.02,2.65,4.87,5.125,0.81,1.2903202134756504,3,TP341ﾌﾀﾅｼ,1,6,4.92,30,1.93,0.6299999999999999,2.22,0.2549999999999999,3.105,0.0,3.833333333333333,2.4063794146386863,8.173496076721882,0.5253850609865025,97.085,450.0,1.デフ・大物ギヤ・Brg
166,9036628A006    ,2023,38,4.0,22.0,21.0,（株）ジェイテクト,4.8,0.09,2.02,2.34,4.84,5.41,0.81,1.4504269513008672,3,TP341ﾌﾀﾅｼ,1,6,4.92,24,1.93,0.31999999999999984,2.5,0.5700000000000003,3.39,0.0,4.185185185185185,2.337242835262788,8.445945945945946,0.4216764488005014,97.085,450.0,1.デフ・大物ギヤ・Brg
167,9036628A007    ,2023,38,9.0,32.0,31.0,（株）ジェイテクト,7.097222222222222,0.09,2.02,2.34,5.64,5.9,0.81,1.2199060631938514,3,TP341ﾌﾀﾅｼ,1,6,4.92,33,1.93,0.31999999999999984,3.3,0.2600000000000007,3.88,0.0,4.790123456790123,3.1805727646288795,12.852382715396411,0.6254293660819353,97.085,450.0,1.デフ・大物ギヤ・Brg
168,9036628A008    ,2023,38,7.0,22.0,23.0,（株）ジェイテクト,4.945,0.09,2.02,2.475,5.285,5.76,0.81,1.379313976658127,3,TP341ﾌﾀﾅｼ,1,6,4.92,24,1.93,0.4549999999999996,2.8100000000000005,0.4749999999999997,3.74,0.0,4.617283950617283,2.711492860430128,14.34700625802749,0.4540023343625369,97.085,450.0,1.デフ・大物ギヤ・Brg
169,9036630A017    ,2023,38,13.5,59.0,55.0,（株）ジェイテクト,12.430555555555555,0.09,2.02,2.32,4.855,5.18,0.81,1.049547521348564,3,TP341ﾌﾀﾅｼ,1,6,4.92,60,1.93,0.2999999999999998,2.5350000000000006,0.3249999999999993,3.16,0.0,3.901234567901234,3.0108212689023497,11.007096481956816,0.9853738752118838,97.085,450.0,1.デフ・大物ギヤ・Brg
