,品番,変更前）正常1,変更前）正常2,変更前）正常3,変更前）正常4,変更前）異常1,変更前）異常2,変更前）異常3,変更前）異常4,変更前）異常5,変更後）正常1,変更後）正常2,変更後）正常3,変更後）正常4,変更後）異常1,変更後）異常2,変更後）異常3,変更後）異常4,変更後）異常5,差分）正常1,差分）正常2,差分）正常3,差分）正常4,差分）異常1,差分）異常2,差分）異常3,差分）異常4,差分）異常5,品名,収容数,仕入先名/工場名,A,B,C,整備室,箱種,箱サイズ,箱重量,手配区分,変更前）かんばん数,変更後）かんばん数,変更前）社内LT,変更後）社内LT,差分）社内LT,変更前）基準在庫日数（基準在庫枚数込み）,変更前）社内LT-基準在庫日数（基準在庫枚数込み）,変更後）基準在庫日数（基準在庫枚数込み）,変更後）社内LT-基準在庫日数（基準在庫枚数込み）,変更前）計算社内かんばん数,変更前）計算社内かんばん数MAX,変更後）計算社内かんばん数,変更後）計算社内かんばん数MAX,,,,変更前）方率
48,82821XAE010,0,0,0,0,0,0,30,10,60,0,0,0,0,0,0,8.510638298,27.65957447,63.82978723,0,0,0,0,0,0,-21.4893617,17.65957447,3.829787234,"COVER, CONNECTOR",100,石黒ゴム工業（株）,1,2,3.64,1Y,ＴＰ１３１フタナシ,0.006,0.37,手配,11,47,4.86,3.76,-1.1,1.602867437,3.257132563,1.009499946,2.750500054,43.2375,47.8625,42.1249,46.8519,,,,
100,9094906A012,0,15.38461538,0,23.07692308,0,7.692307692,7.692307692,38.46153846,7.692307692,0,6.666666667,6.666666667,3.333333333,20,6.666666667,13.33333333,16.66666667,26.66666667,0,-8.717948718,6.666666667,-19.74358974,20,-1.025641026,5.641025641,-21.79487179,18.97435897,"CLAMP, WIRING",500,中庸スプリング（株）,1,2,2.34,1Y,ＡＷ１３１フタナシ,0.006,1.85,手配,13,30,2.75,1.675,-1.075,1.488718158,1.261281842,1.081327677,0.593672323,21.73014,24.90474,22.17264,25.42224,,,,
7,33490ECB010,0,0,15.17241379,5.517241379,0,11.03448276,44.82758621,11.03448276,12.4137931,0.194174757,1.553398058,2.524271845,22.91262136,27.37864078,22.52427184,6.796116505,0.776699029,15.33980583,0.194174757,1.553398058,-12.64814195,17.39537998,27.37864078,11.48978909,-38.0314697,-10.25778373,2.926012722,"COOLER ASSY, OIL",4,マレリ（株）,1,2,3.92,1Y,ＴＰ３３１．５フタアリ,0.019,0.019,手配,145,515,2.05,0.99,-1.06,1.259077118,0.790922882,0.850739205,0.139260795,412.59,462.54,426.735,478.41,,,,
39,5040056001E,0,8.333333333,12.5,0,8.333333333,12.5,20.83333333,8.333333333,29.16666667,0,0,5.882352941,8.823529412,11.76470588,2.941176471,35.29411765,8.823529412,26.47058824,0,-8.333333333,-6.617647059,8.823529412,3.431372549,-9.558823529,14.46078431,0.490196078,-2.696078431,"CLAMP, TUBE",300,サトープレス工業（株）,1,1,1.78,1Y,ＡＷ１３１フタナシ,0.006,1.545,手配,24,34,2.84,1.825,-1.015,1.466156764,1.373843236,1.04108807,0.78391193,22.314,28.974,22.981,29.871,,,,
105,G1144ECE010,0,0,0,0.606060606,0,0.606060606,35.15151515,24.84848485,38.78787879,0,0,0,0.606060606,2.727272727,4.848484848,10.60606061,39.09090909,42.12121212,0,0,0,0,2.727272727,4.242424242,-24.54545455,14.24242424,3.333333333,"TERMINAL, MOTOR CABLE",8,矢崎総業（株）,1,1,1.79,1Y,ＴＰ３３１フタアリ,0.014,4.71,手配,165,330,2.72,1.755,-0.965,1.076468558,1.643531442,0.612183908,1.142816092,193.4575,259.1325,194.85,261.35,,,,
60,9015905A007,0,0,0,33.33333333,0,0,33.33333333,33.33333333,0,0,0,0,15.38461538,30.76923077,7.692307692,0,38.46153846,7.692307692,0,0,0,-17.94871795,30.76923077,7.692307692,-33.33333333,5.128205128,7.692307692,"SCREW, W/WASHER",2000,（株）青山製作所,1,6,5.76,1Y,ＴＰ３３１フタナシ,0.012,9.43,手配,3,14,3.09,2.13,-0.96,2.02657742,1.06342258,1.656972201,0.473027799,10.35375,10.81625,10.51593,10.98863,,,,
34,35847ECE010,0,0,15.625,15.625,0,3.125,6.25,15.625,43.75,0,0,1.515151515,0,9.090909091,3.03030303,4.545454545,12.12121212,69.6969697,0,0,-14.10984848,-15.625,9.090909091,-0.09469697,-1.704545455,-3.503787879,25.9469697,"TUBE, TRANSAXLE LUBE APPLY",40,（株）メタルテック,1,1,1.9,1Y,ＴＰ３３２フタナシ,0.022,3.3,手配,32,66,3.1,2.18,-0.92,1.27234279,1.82765721,0.58045977,1.59954023,35.8375,48.9725,34.25,47.55,,,,
106,G1163ECB010,0,0,18.75,18.75,12.5,18.75,0,18.75,12.5,0,6.666666667,15.55555556,24.44444444,31.11111111,11.11111111,4.444444444,0,6.666666667,0,6.666666667,-3.194444444,5.694444444,18.61111111,-7.638888889,4.444444444,-18.75,-5.833333333,"BOLT, MOTOR STATOR YOKE",80,（株）青山製作所,1,6,5.76,1Y,ＴＰ３３１フタナシ,0.012,7.438,手配,16,46,1.57,0.67,-0.9,1.25149107,0.31850893,0.651332008,0.018667992,29.1225,30.735,27.06175,28.6705,,,,
55,9010508A042,0,0,9.090909091,36.36363636,9.090909091,9.090909091,18.18181818,18.18181818,0,0,6.060606061,12.12121212,30.3030303,21.21212121,12.12121212,9.090909091,0,9.090909091,0,6.060606061,3.03030303,-6.060606061,12.12121212,3.03030303,-9.090909091,-18.18181818,9.090909091,"BOLT, FLANGE",300,（株）青山製作所,1,6,5.76,1Y,ＴＰ３３１フタナシ,0.012,10.22,手配,11,33,1.56,0.69,-0.87,1.386156764,0.173843236,0.683696023,0.006303977,20.649,21.759,19.2585,20.40683333,,,,
90,9036630A018,0,0,0,0,8.888888889,0,15.55555556,35.55555556,40,0,0,0,1.62601626,0,11.38211382,22.76422764,27.64227642,36.58536585,0,0,0,1.62601626,-8.888888889,11.38211382,7.208672087,-7.913279133,-3.414634146,"RACE, TAPERED ROLLER BEARING, INNER",38,（株）ジェイテクト,1,1,1.9,1Y,サンボックス＃９Ｆフタナシ,0.013,9.51,手配,45,123,2.03,1.21,-0.82,0.872689626,1.157310374,0.468447258,0.741552742,44.38157895,68.72368421,45.29421053,70.17315789,,,,
