かんばんシリアル,伝票番号,拠点所番地,品番,品名,収容数,仕入先名,仕入先工場名,ステータス,納入日,納入便,発注日時,印刷日時,検収日時,順立装置入庫日時,順立装置出庫日時,回収日時,発注印刷LT,発注検収LT,発注順立装置入庫LT,発注順立装置出庫LT,発注回収LT,更新日時,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT,平均日量数,基準在庫枚数日数,A,B,C,整備室,箱種,箱サイズ,箱重量,基準在庫日数,基準在庫枚数,手配区分,基準在庫日数（基準在庫枚数込み）,実績在庫日数,在庫状態
1Z23J00009881,XCEY550,50501,35580ECB011    ,"ｱｷｭｴｰﾀｰASSY,ｼﾌﾄ ｺﾝﾄﾛｰﾙ        ",6,アイシン精機（株）,半田工場,回収済,2023/9/6,3,2023/9/5 16:31,2023/9/5 21:39,2023/9/6 20:51,2023/9/7 5:30,2023/9/8 3:25,2023/9/8 6:45,0.21,1.18,1.54,2.45,2.59,2023/9/11 13:23,0.97,0.36,0.91,0.14,1.41,390.3333333,0.046114432,1,4,8.04,1Y,ＴＰ３４２フタアリ,0.036,10.68,0.9,3,手配,0.946114432,1.41,異常2
1Z23J00009882,XCEY550,50501,35580ECB011    ,"ｱｷｭｴｰﾀｰASSY,ｼﾌﾄ ｺﾝﾄﾛｰﾙ        ",6,アイシン精機（株）,半田工場,回収済,2023/9/6,3,2023/9/5 16:31,2023/9/5 21:39,2023/9/6 20:51,2023/9/7 5:30,2023/9/8 0:30,2023/9/8 3:41,0.21,1.18,1.54,2.33,2.47,2023/9/11 13:23,0.97,0.36,0.79,0.14,1.29,390.3333333,0.046114432,1,4,8.04,1Y,ＴＰ３４２フタアリ,0.036,10.68,0.9,3,手配,0.946114432,1.29,異常2
1Z23J00009883,XCEY550,50501,35580ECB011    ,"ｱｷｭｴｰﾀｰASSY,ｼﾌﾄ ｺﾝﾄﾛｰﾙ        ",6,アイシン精機（株）,半田工場,回収済,2023/9/6,3,2023/9/5 16:31,2023/9/5 21:39,2023/9/6 20:51,2023/9/7 5:31,2023/9/8 3:42,2023/9/8 6:45,0.21,1.18,1.54,2.47,2.59,2023/9/11 13:23,0.97,0.36,0.93,0.12,1.41,390.3333333,0.046114432,1,4,8.04,1Y,ＴＰ３４２フタアリ,0.036,10.68,0.9,3,手配,0.946114432,1.41,異常2
1Z23J00009884,XCEY550,50501,35580ECB011    ,"ｱｷｭｴｰﾀｰASSY,ｼﾌﾄ ｺﾝﾄﾛｰﾙ        ",6,アイシン精機（株）,半田工場,回収済,2023/9/6,3,2023/9/5 16:31,2023/9/5 21:39,2023/9/6 20:51,2023/9/7 5:29,2023/9/8 4:22,2023/9/8 6:45,0.21,1.18,1.54,2.49,2.59,2023/9/11 13:23,0.97,0.36,0.95,0.1,1.41,390.3333333,0.046114432,1,4,8.04,1Y,ＴＰ３４２フタアリ,0.036,10.68,0.9,3,手配,0.946114432,1.41,異常2
1Z23J00009886,XCEY550,50501,35580ECB011    ,"ｱｷｭｴｰﾀｰASSY,ｼﾌﾄ ｺﾝﾄﾛｰﾙ        ",6,アイシン精機（株）,半田工場,回収済,2023/9/6,3,2023/9/5 16:31,2023/9/5 21:39,2023/9/6 20:51,2023/9/7 5:28,2023/9/8 1:53,2023/9/8 5:31,0.21,1.18,1.54,2.39,2.54,2023/9/11 13:23,0.97,0.36,0.85,0.15,1.36,390.3333333,0.046114432,1,4,8.04,1Y,ＴＰ３４２フタアリ,0.036,10.68,0.9,3,手配,0.946114432,1.36,異常2
1Z23J00009888,XCEY450,20369,1040183011P    ,ﾎﾞﾙﾄﾌﾗﾝｼﾞ                     ,500,（株）青山製作所,< NULL >,回収済,2023/9/6,4,2023/9/5 14:12,2023/9/5 22:01,2023/9/6 20:16,2023/9/7 4:40,2023/9/7 8:57,2023/9/8 3:41,0.33,1.25,1.6,1.78,2.56,2023/9/11 13:23,0.92,0.35,0.18,0.78,1.31,1171,0.426985482,1,6,5.76,1Y,ＴＰ３３１フタナシ,0.012,9.38,0.54,1,手配,0.966985482,1.31,異常2
1Z23J00009890,XCEY450,20380,9010508A014    ,ﾎﾞﾙﾄﾌﾗﾝｼﾞ                     ,500,（株）青山製作所,< NULL >,回収済,2023/9/6,4,2023/9/5 14:12,2023/9/5 22:01,2023/9/6 20:16,2023/9/7 4:43,2023/9/7 10:53,2023/9/7 14:11,0.33,1.25,1.6,1.86,2,2023/9/10 13:22,0.92,0.35,0.26,0.14,0.75,33549.04762,0.044710658,1,6,5.76,1Y,ＴＰ３３１フタナシ,0.012,8.83,0.54,3,手配,0.584710658,0.75,異常2
1Z23J00009891,XCEY450,20383,9015906A021    ,ｽｸﾘｭｰW/ﾜｯｼｬｰ                  ,1200,（株）青山製作所,< NULL >,回収済,2023/9/6,4,2023/9/5 14:12,2023/9/5 22:01,2023/9/6 20:16,2023/9/7 4:35,2023/9/7 23:14,2023/9/8 1:06,0.33,1.25,1.6,2.38,2.45,2023/9/11 13:23,0.92,0.35,0.78,0.07,1.2,7488.952381,0.480708091,1,6,5.76,1Y,ＴＰ３３１フタナシ,0.012,9.71,0.52,3,手配,1.000708091,1.2,異常1
1Z23J00009903,XCET180,30122,36108ECB010    ,"ｼﾔﾌﾄ,O/Pﾄﾞﾗｲﾌﾞ                ",150,（株）オーハシテクニカ,< NULL >,回収済,2023/9/7,1,2023/9/5 15:45,2023/9/6 9:07,2023/9/7 16:03,2023/9/7 23:28,2023/9/8 6:37,2023/9/8 23:28,0.72,2.01,2.32,2.62,3.32,2023/9/11 13:23,1.29,0.31,0.3,0.7,1.31,390.3809524,0.384240059,1,1,1.97,1Y,ＴＰ３３１．５フタナシ,0.017,6.85,0.64,1,手配,1.024240059,1.31,異常2
1Z23J00009912,XCEY700,60123,41310ECB010    ,ﾃﾞﾌｹｰｽS/A                     ,2,（株）オンド,本社工場,回収済,2023/9/6,3,2023/9/5 17:15,2023/9/5 23:05,2023/9/7 0:05,2023/9/7 4:52,2023/9/7 14:55,2023/9/7 17:20,0.24,1.28,1.48,1.9,2,2023/9/10 13:22,1.04,0.2,0.42,0.1,0.72,390.3809524,0.010246402,1,4,4,1Y,サンボックス＃２４Ａフタアリ,0.033,16.99,0.69,2,手配,0.700246402,0.72,異常1
1Z23J00009914,XCEY700,60124,41310ECE010    ,ｷﾞﾔﾃﾞﾌﾘﾝｸﾞ                    ,2,（株）オンド,本社工場,回収済,2023/9/6,3,2023/9/5 17:15,2023/9/5 23:05,2023/9/7 0:05,2023/9/7 5:08,2023/9/7 22:53,2023/9/8 0:23,0.24,1.28,1.5,2.23,2.3,2023/9/11 13:23,1.04,0.22,0.73,0.07,1.02,497.1428571,0.012068966,1,4,4,1Y,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,0.033,14.51,0.7,3,手配,0.712068966,1.02,異常2
1Z23J00009926,XCEY700,60124,41310ECE010    ,ｷﾞﾔﾃﾞﾌﾘﾝｸﾞ                    ,2,（株）オンド,本社工場,回収済,2023/9/6,3,2023/9/5 17:15,2023/9/5 23:05,2023/9/7 0:05,2023/9/7 5:26,2023/9/7 22:15,2023/9/7 23:43,0.24,1.28,1.51,2.21,2.27,2023/9/10 13:22,1.04,0.23,0.7,0.06,0.99,497.1428571,0.012068966,1,4,4,1Y,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,0.033,14.51,0.7,3,手配,0.712068966,0.99,異常2
1Z23J00009933,XCEY580,30439,33490ECB010    ,ｵｲﾙｸｰﾗｰASSY                   ,4,マレリ（株）,澁澤倉庫,回収済,2023/9/8,1,2023/9/6 0:27,2023/9/6 8:21,2023/9/8 7:56,2023/9/8 11:39,2023/9/9 5:11,2023/9/9 7:36,0.33,2.31,2.47,3.2,3.3,2023/9/12 13:23,1.98,0.16,0.73,0.1,0.99,390.3809524,0.030739205,1,2,3.92,1Y,ＴＰ３３１．５フタアリ,0.019,0.019,0.82,3,手配,0.850739205,0.99,異常1
1Z23J00009936,XCEY580,30439,33490ECB010    ,ｵｲﾙｸｰﾗｰASSY                   ,4,マレリ（株）,澁澤倉庫,回収済,2023/9/8,1,2023/9/6 0:27,2023/9/6 8:21,2023/9/8 7:56,2023/9/8 11:43,2023/9/9 4:23,2023/9/9 6:02,0.33,2.31,2.47,3.16,3.23,2023/9/12 13:23,1.98,0.16,0.69,0.07,0.92,390.3809524,0.030739205,1,2,3.92,1Y,ＴＰ３３１．５フタアリ,0.019,0.019,0.82,3,手配,0.850739205,0.92,異常1
1Z23J00009940,XCEY580,30439,33490ECB010    ,ｵｲﾙｸｰﾗｰASSY                   ,4,マレリ（株）,澁澤倉庫,回収済,2023/9/8,1,2023/9/6 0:27,2023/9/6 8:21,2023/9/8 7:56,2023/9/8 11:09,2023/9/9 3:45,2023/9/9 7:36,0.33,2.31,2.45,3.14,3.3,2023/9/12 13:23,1.98,0.14,0.69,0.16,0.99,390.3809524,0.030739205,1,2,3.92,1Y,ＴＰ３３１．５フタアリ,0.019,0.019,0.82,3,手配,0.850739205,0.99,異常1
