,品番,変更前）正常1,変更前）正常2,変更前）正常3,変更前）正常4,変更前）異常1,変更前）異常2,変更前）異常3,変更前）異常4,変更前）異常5,変更後）正常1,変更後）正常2,変更後）正常3,変更後）正常4,変更後）異常1,変更後）異常2,変更後）異常3,変更後）異常4,変更後）異常5,差分）正常1,差分）正常2,差分）正常3,差分）正常4,差分）異常1,差分）異常2,差分）異常3,差分）異常4,差分）異常5,品名,変更前）かんばん数,変更後）かんばん数,変更前）社内LT,変更後）社内LT,差分）社内LT,変更前）基準在庫日数（基準在庫枚数込み）,変更前）社内LT-基準在庫日数（基準在庫枚数込み）,変更後）基準在庫日数（基準在庫枚数込み）,変更後）社内LT-基準在庫日数（基準在庫枚数込み）,変更前）計算社内かんばん数,変更前）計算社内かんばん数MAX,変更後）計算社内かんばん数,変更後）計算社内かんばん数MAX,収容数,仕入先名/工場名,A,B,C,整備室,箱種,箱サイズ,箱重量,手配区分,変更前）基準在庫日数,変更後）基準在庫日数,
9,2030052002N,0,31.25,12.5,0,0,6.25,12.5,37.5,0,0,13.33333333,0,6.666666667,20,13.33333333,20,20,6.666666667,0,-17.91666667,-12.5,6.666666667,20,7.083333333,7.5,-17.5,6.666666667,"PLUG, W/HEAD STRAIGHT SCREW",16,15,2.55,1.97,-0.58,1.703345904,0.846654096,1.514057302,0.455942698,11.06833333,12.682,10.87833333,12.454,300,（株）杉浦製作所,1,2,1.06,1Y,TP331ﾌﾀﾅｼ,0.012,9.85,手配,0.5,0.5,0
113,9036658A002,0,0,0,5.263157895,14.03508772,7.01754386,40.35087719,14.03508772,19.29824561,0,0,0,1.785714286,8.928571429,7.142857143,33.92857143,14.28571429,33.92857143,0,0,0,-3.477443609,-5.106516291,0.125313283,-6.422305764,0.250626566,14.63032581,"RACE, TAPERED ROLLER BEARING, OUTER",57,56,1.9,1.33,-0.57,1.066726094,0.833273906,0.682217614,0.647782386,38.4,50.2,34.87583333,46.35916667,36,（株）ジェイテクト,1,1,1.9,1Y,ｻﾝﾎﾞｯｸｽ＃9Fﾌﾀﾅｼ,0.013,5.668,手配,0.6,0.59,0.01
79,9015906A023,0,27.27272727,18.18181818,0,0,0,0,27.27272727,27.27272727,0,0,10,10,20,10,0,10,40,0,-27.27272727,-8.181818182,10,20,10,0,-17.27272727,12.72727273,"SCREW, W/WASHER",11,11,4.83,4.26,-0.57,2.088420556,2.741579444,1.985063862,2.274936138,8.8044,9.176476923,8.6724,9.036015385,1300,（株）青山製作所,1,6,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,9.67,手配,0.52,0.52,0
63,82821XAE010,0,0,0,0,0,0,14.28571429,32.65306122,53.06122449,0,0,0,0,0,0,8.510638298,27.65957447,63.82978723,0,0,0,0,0,0,-5.775075988,-4.993486756,10.76856274,"COVER, CONNECTOR",49,47,4.31,3.76,-0.55,1.381115301,2.928884699,1.009499946,2.750500054,45.1167,49.9577,42.1249,46.8519,100,石黒ゴム工業（株）,1,2,3.64,1Y,TP131ﾌﾀﾅｼ,0.006,0.37,手配,0.87,0.87,0
91,9031150A015,0,0,10.71428571,17.85714286,12.5,14.28571429,8.928571429,21.42857143,14.28571429,0,0,0,19.64285714,17.85714286,12.5,14.28571429,10.71428571,25,0,0,-10.71428571,1.785714286,5.357142857,-1.785714286,5.357142857,-10.71428571,10.71428571,"SEAL, TYPE T OIL",56,56,1.52,0.97,-0.55,1.061336853,0.458663147,0.624645348,0.345354652,33.54440476,39.3075,30.82511905,36.4525,84,ＮＯＫ（株）,1,2,3.52,1Y,ｻﾝﾎﾞｯｸｽ＃24Bﾌﾀﾅｼ,0.021,5.56,手配,0.53,0.53,0
127,G1163ECE010,0,0.934579439,4.672897196,17.75700935,11.21495327,11.21495327,20.56074766,17.75700935,15.88785047,0,1.960784314,3.921568627,12.74509804,16.66666667,18.62745098,24.50980392,6.862745098,14.70588235,0,1.026204874,-0.751328569,-5.011911307,5.451713396,7.412497709,3.949056258,-10.89426425,-1.181968114,"BOLT, MOTOR STATOR YOKE",107,103,1.39,0.85,-0.54,0.877182765,0.512817235,0.581440329,0.268559671,61.7664,65.4624,55.696,59.136,100,（株）青山製作所,1,6,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,7.77,手配,0.53,0.53,0
77,9015906A021,0,2.941176471,8.823529412,11.76470588,8.823529412,11.76470588,20.58823529,23.52941176,11.76470588,0,12.90322581,16.12903226,3.225806452,12.90322581,25.80645161,9.677419355,6.451612903,12.90322581,0,9.962049336,7.305502846,-8.538899431,4.079696395,14.04174573,-10.91081594,-17.07779886,1.138519924,"SCREW, W/WASHER",34,32,1.89,1.28,-0.61,1.182623775,0.707376225,1.000708091,0.279291909,20.68736667,21.82117222,20.28263333,21.39049444,1200,（株）青山製作所,1,6,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,9.71,手配,0.52,0.52,0
1,01912ECB010,0,0,0,0,0,0,18.75,40.625,40.625,0,0,0,0,0,6.451612903,9.677419355,16.12903226,67.74193548,0,0,0,0,0,6.451612903,-9.072580645,-24.49596774,27.11693548,"CAP, SHIPPING",32,31,4.015,3.52,-0.495,1.536760962,2.478239038,1.059294837,2.460705163,30.40966667,33.63433333,27.78633333,30.93766667,300,石黒ゴム工業（株）,1,2,3.64,1Y,TP332ﾌﾀﾅｼ,0.022,3.21,手配,0.85,0.85,0
110,9036652A003,0,0,2.325581395,4.651162791,2.325581395,2.325581395,20.93023256,37.20930233,30.23255814,0,0,0,2.272727273,11.36363636,2.272727273,13.63636364,15.90909091,54.54545455,0,0,-2.325581395,-2.378435518,9.038054968,-0.052854123,-7.293868922,-21.30021142,24.31289641,"RACE, TAPERED ROLLER BEARING, INNER",43,44,2.79,2.305,-0.485,1.141131365,1.648868635,0.690689655,1.614310345,29.26433333,38.321,26.27,35.13666667,60,（株）ジェイテクト,1,1,1.9,1Y,ｻﾝﾎﾞｯｸｽ＃9Fﾌﾀﾅｼ,0.013,11.98,手配,0.58,0.57,0.01
104,9036628A005,0,0,2.941176471,8.823529412,5.882352941,17.64705882,20.58823529,26.47058824,17.64705882,0,0,0,11.42857143,8.571428571,2.857142857,8.571428571,34.28571429,34.28571429,0,0,-2.941176471,2.605042017,2.68907563,-14.78991597,-12.01680672,7.81512605,16.63865546,"RACE, TAPERED ROLLER BEARING, INNER",34,35,2.295,1.81,-0.485,1.237876823,1.057123177,0.773696023,1.036303977,25.302,32.382,22.359,29.249,60,（株）ジェイテクト,1,1,1.9,1Y,ｻﾝﾎﾞｯｸｽ＃9Fﾌﾀﾅｼ,0.013,11.26,手配,0.63,0.62,0.01
65,82824ECB010,0,0,1.587301587,14.28571429,11.11111111,9.523809524,25.3968254,17.46031746,20.63492063,0,0,0,7.936507937,9.523809524,9.523809524,25.3968254,20.63492063,26.98412698,0,0,-1.587301587,-6.349206349,-1.587301587,0,0,3.174603175,6.349206349,"CONNECTOR, WIRING HARNESS",63,63,1.75,1.27,-0.48,1.048200972,0.701799028,0.651971212,0.618028788,40.83375,54.10875,37.8184375,50.7371875,32,矢崎総業（株）,1,1,1.79,1Y,TP331ﾌﾀｱﾘ,0.014,3.18,手配,0.57,0.57,0
12,33490ECE010,0,0,0.764525994,10.24464832,18.34862385,12.8440367,30.88685015,11.16207951,15.74923547,0.147058824,1.176470588,1.911764706,11.61764706,21.02941176,19.85294118,21.76470588,4.558823529,17.94117647,0.147058824,1.176470588,1.147238712,1.372998741,2.680787911,7.008904479,-9.122144271,-6.603255981,2.191940997,"COOLER ASSY, OIL",654,680,1.67,1.19,-0.48,1.042075424,0.627924576,0.834137931,0.355862069,553.1925,621.1175,541.65,608.15,4,マレリ（株）,1,2,3.92,1Y,TP331.5ﾌﾀｱﾘ,0.019,0.019,手配,0.81,0.81,0
27,35198ECE010,0,0,0,8.333333333,0,0,25,50,16.66666667,0,0,0,7.692307692,0,15.38461538,15.38461538,7.692307692,53.84615385,0,0,0,-0.641025641,0,15.38461538,-9.615384615,-42.30769231,37.17948718,"BRACKET, WIRE HARNESS CLAMP",12,13,4.52,4.04,-0.48,1.923771218,2.596228782,0.982298851,3.057701149,10.8793,13.5963,8.714,11.374,200,サトープレス工業（株）,1,1,1.78,1Y,TP331ﾌﾀﾅｼ,0.012,5.28,手配,0.58,0.58,0
