品番,加工図符号,設変符号,品名,ステータス,発注区分,整備室,整備室名,手配区分,工程内外製,工程コード,仕入先名/工場名,発送場所,発送場所名,受給区分,後工程内外製,後工程コード,後工程仕入先名/工場名,受入場所,受入場所名,箱種類,収容数,基準在庫日数,基準在庫枚数,サイクル間隔,サイクル回数,サイクル情報,更新,更新者,最終更新日時,マイナス必要数有無,当月必要数,当月稼働日数,翌月必要数,翌月稼働日数,翌々月必要数,翌々月稼働日数,翌々々月必要数,翌々々月稼働日数,1(木),2(金),3(土),4(日),5(月),6(火),7(水),8(木),9(金),10(土),11(日),12(月),13(火),14(水),15(木),16(金),17(土),18(日),19(月),20(火),21(水),22(木),23(金),24(土),25(日),26(月),27(火),28(水),29(木),30(金),,当月計算数,翌月計算数,翌々月計算数,翌々々月計算数,1(木),2(金),3(土),4(日),5(月),6(火),7(水),8(木),9(金),10(土),11(日),12(月),13(火),14(水),15(木),16(金),17(土),18(日),19(月),20(火),21(水),22(木),23(金),24(土),25(日),26(月),27(火),28(水),29(木),30(金)
82821-CWA030,82821CWA030,,"COVER, CONNECTOR",使用中,かんばん,1Y,第１工場,手配,Ｐ,208,石黒ゴム工業（株）,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-332 ﾊﾝﾖｳ,200,0.83,3,1,2,3.64,,,,,"21,210",22,"20,914",21,"16,971",18,"20,206",21,919,945,0,0,919,"1,028",920,"1,029",918,0,0,"1,027",920,"1,028",918,946,0,0,919,"1,029",946,"1,027",879,0,0,946,"1,029",945,"1,028",945,,"21,210","20,914","16,971","20,206",919,945,0,0,919,"1,028",920,"1,029",918,0,0,"1,027",920,"1,028",918,946,0,0,919,"1,029",946,"1,027",879,0,0,946,"1,029",945,"1,028",945
82821-ECB010,82821ECB010,,"COVER, CONNECTOR",使用中,かんばん,1Y,第１工場,手配,Ｐ,208,石黒ゴム工業（株）,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-332 ｾﾝﾖｳ,400,0.83,3,1,2,3.64,,,,,"21,214",22,"20,918",21,"16,975",18,"20,206",21,919,945,0,0,919,"1,028",920,"1,029",918,0,0,"1,027",920,"1,029",919,947,0,0,920,"1,029",946,"1,027",879,0,0,946,"1,029",945,"1,028",945,,"21,214","20,918","16,975","20,206",919,945,0,0,919,"1,028",920,"1,029",918,0,0,"1,027",920,"1,029",919,947,0,0,920,"1,029",946,"1,027",879,0,0,946,"1,029",945,"1,028",945
82821-ECB020,82821ECB020,,"COVER, CONNECTOR",使用中,かんばん,1Y,第１工場,手配,Ｐ,208,石黒ゴム工業（株）,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-131 ﾊﾝﾖｳ,200,0.87,3,1,2,3.64,,,,,"21,214",22,"20,918",21,"16,975",18,"20,206",21,919,945,0,0,919,"1,028",920,"1,029",918,0,0,"1,027",920,"1,029",919,947,0,0,920,"1,029",946,"1,027",879,0,0,946,"1,029",945,"1,028",945,,"21,214","20,918","16,975","20,206",919,945,0,0,919,"1,028",920,"1,029",918,0,0,"1,027",920,"1,029",919,947,0,0,920,"1,029",946,"1,027",879,0,0,946,"1,029",945,"1,028",945
82821-ECB040,82821ECB040, A,"COVER, CONNECTOR",使用中,かんばん,1Y,第１工場,手配,Ｐ,208,石黒ゴム工業（株）,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-342 ｾﾝﾖｳ,100,0.83,3,1,2,3.64,,,,,"9,255",22,"8,883",21,"7,399",18,"9,215",21,396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405,,"9,255","8,883","7,399","9,215",396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405
82821-ECB050,82821ECB050,,"COVER, CONNECTOR",使用中,かんばん,1Y,第１工場,手配,Ｐ,208,石黒ゴム工業（株）,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-332 ﾊﾝﾖｳ,100,0.83,3,1,2,3.64,,,,,"21,210",22,"20,914",21,"16,971",18,"20,206",21,919,945,0,0,919,"1,028",920,"1,029",918,0,0,"1,027",920,"1,028",918,946,0,0,919,"1,029",946,"1,027",879,0,0,946,"1,029",945,"1,028",945,,"21,210","20,914","16,971","20,206",919,945,0,0,919,"1,028",920,"1,029",918,0,0,"1,027",920,"1,028",918,946,0,0,919,"1,029",946,"1,027",879,0,0,946,"1,029",945,"1,028",945
82821-ECE010,82821ECE010, A,"COVER, CONNECTOR",使用中,かんばん,1Y,第１工場,手配,Ｐ,208,石黒ゴム工業（株）,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-332 ﾊﾝﾖｳ,50,1.07,3,1,2,3.64,,,,,"11,958",22,"12,034",21,"9,575",18,"10,991",21,523,537,0,0,522,596,530,590,522,0,0,583,510,579,510,535,0,0,507,572,520,571,482,0,0,535,584,534,576,540,,"11,958","12,034","9,575","10,991",523,537,0,0,522,596,530,590,522,0,0,583,510,579,510,535,0,0,507,572,520,571,482,0,0,535,584,534,576,540
82821-XAE010,82821XAE010, A,"COVER, CONNECTOR",使用中,かんばん,1Y,第１工場,手配,Ｐ,208,石黒ゴム工業（株）,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-131 ﾊﾝﾖｳ,100,0.87,3,1,2,3.64,,,,,"21,214",22,"20,918",21,"16,975",18,"20,206",21,919,945,0,0,919,"1,028",920,"1,029",918,0,0,"1,027",920,"1,029",919,947,0,0,920,"1,029",946,"1,027",879,0,0,946,"1,029",945,"1,028",945,,"21,214","20,918","16,975","20,206",919,945,0,0,919,"1,028",920,"1,029",918,0,0,"1,027",920,"1,029",919,947,0,0,920,"1,029",946,"1,027",879,0,0,946,"1,029",945,"1,028",945
82821-XAE020,82821XAE020, C,"COVER, CONNECTOR",使用中,かんばん,1Y,第１工場,手配,Ｐ,208,石黒ゴム工業（株）,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-332 ﾊﾝﾖｳ,400,0.81,3,1,2,3.64,,,,,"9,255",22,"8,883",21,"7,399",18,"9,215",21,396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405,,"9,255","8,883","7,399","9,215",396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405
2030 045 013L,2030045013L, D,GASKET,使用中,かんばん,1Y,第１工場,手配,Ｐ,226,伊藤金属工業（株）,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"2,000",0.53,3,1,1,1.96,,,,,"54,387",22,"53,871",21,"43,526",18,"51,403",21,"2,361","2,427",0,0,"2,360","2,652","2,370","2,648","2,358",0,0,"2,637","2,350","2,637","2,348","2,429",0,0,"2,348","2,630","2,412","2,625","2,240",0,0,"2,427","2,642","2,424","2,632","2,430",,"54,387","53,871","43,526","51,403","2,361","2,427",0,0,"2,360","2,652","2,370","2,648","2,358",0,0,"2,637","2,350","2,637","2,348","2,429",0,0,"2,348","2,630","2,412","2,625","2,240",0,0,"2,427","2,642","2,424","2,632","2,430"
36108-ECB010,36108ECB010,,"SHAFT SUB-ASSY, OIL PUMP DRIVE",使用中,かんばん,1Y,第１工場,手配,Ｐ,810,（株）オーハシテクニカ,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331-5 ﾊﾝﾖｳ,150,0.64,3,1,1,1.97,,,,,"9,255",22,"8,883",21,"7,399",18,"9,215",21,396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405,,"9,255","8,883","7,399","9,215",396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405
35501-ECB010,35501ECB010, A,"ROD SUB-ASSY, PARKING LOCK",使用中,かんばん,1Y,第１工場,手配,Ｐ,816,大橋鉄工（株）,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,100,0.6,3,1,1,1.38,,,,,"9,255",22,"8,883",21,"7,399",18,"9,215",21,396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405,,"9,255","8,883","7,399","9,215",396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405
90363-45A004,9036345A004,,"BEARING, RADIAL BALL",使用中,かんばん,1Y,第１工場,手配,Ｐ,831,岡谷鋼機（株）,1,刈谷支店,――,Ｍ,1,第１,1Y,安城第１工場,ｻﾝﾎﾞｯｸｽ#9T,90,0.64,3,1,1,2.29,,,,,"21,214",22,"20,918",21,"16,975",18,"20,206",21,919,945,0,0,919,"1,028",920,"1,029",918,0,0,"1,027",920,"1,029",919,947,0,0,920,"1,029",946,"1,027",879,0,0,946,"1,029",945,"1,028",945,,"21,214","20,918","16,975","20,206",919,945,0,0,919,"1,028",920,"1,029",918,0,0,"1,027",920,"1,029",919,947,0,0,920,"1,029",946,"1,027",879,0,0,946,"1,029",945,"1,028",945
35557-ECB010,35557ECB010,,"PAWL, PARKING LOCK",使用中,かんばん,1Y,第１工場,手配,Ｐ,834,小川工業（株）,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-131 ﾊﾝﾖｳ,46,0.89,3,1,2,4.94,,,,,"9,255",22,"8,883",21,"7,399",18,"9,215",21,396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405,,"9,255","8,883","7,399","9,215",396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405
41310-ECB010,41310ECB010, A,"GEAR ASSY, DIFFERENTIAL",使用中,かんばん,1Y,第１工場,手配,Ｐ,930,（株）オンド,1,本社工場,――,Ｍ,1,第１,1Y,安城第１工場,ｻﾝﾎﾞｯｸｽ#24-A,2,1.1,3,1,4,4,,,,,"9,255",22,"8,883",21,"7,399",18,"9,215",21,396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405,,"9,255","8,883","7,399","9,215",396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405
41310-ECE010,41310ECE010,,"GEAR ASSY, DIFFERENTIAL",使用中,かんばん,1Y,第１工場,手配,Ｐ,930,（株）オンド,1,本社工場,――,Ｍ,1,第１,1Y,安城第１工場,ｻﾝﾎﾞｯｸｽ#24-A,2,1.1,3,1,4,4,,,,,"11,959",22,"12,035",21,"9,576",18,"10,991",21,523,537,0,0,522,596,530,590,522,0,0,583,510,579,510,535,0,0,508,572,520,571,482,0,0,535,584,534,576,540,,"11,959","12,035","9,576","10,991",523,537,0,0,522,596,530,590,522,0,0,583,510,579,510,535,0,0,508,572,520,571,482,0,0,535,584,534,576,540
1040 043 104R,1040043104R, A,"PIN, STRAIGHT",使用中,かんばん,1Y,第１工場,手配,Ｐ,1014,（株）ギフ加藤製作所,1,本社工場（ＡＷ発行拠点）,――,Ｍ,1,第１,1Y,安城第１工場,AW-131 ｾﾝﾖｳ,"1,000",0.75,3,1,2,3.8,,,,,"42,428",22,"41,836",21,"33,950",18,"40,412",21,"1,838","1,890",0,0,"1,838","2,056","1,840","2,058","1,836",0,0,"2,054","1,840","2,058","1,838","1,894",0,0,"1,840","2,058","1,892","2,054","1,758",0,0,"1,892","2,058","1,890","2,056","1,890",,"42,428","41,836","33,950","40,412","1,838","1,890",0,0,"1,838","2,056","1,840","2,058","1,836",0,0,"2,054","1,840","2,058","1,838","1,894",0,0,"1,840","2,058","1,892","2,054","1,758",0,0,"1,892","2,058","1,890","2,056","1,890"
35556-ECB010,35556ECB010,,"SHAFT, PARKING LOCK PAWL",使用中,かんばん,1Y,第１工場,手配,Ｐ,1014,（株）ギフ加藤製作所,1,本社工場（ＡＷ発行拠点）,――,Ｍ,1,第１,1Y,安城第１工場,TP-131 ﾊﾝﾖｳ,100,0.75,3,1,2,3.8,,,,,"9,255",22,"8,883",21,"7,399",18,"9,215",21,396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405,,"9,255","8,883","7,399","9,215",396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405
90250-06A007,9025006A007, A,"PIN, STRAIGHT",使用中,かんばん,1Y,第１工場,手配,Ｐ,1014,（株）ギフ加藤製作所,1,本社工場（ＡＷ発行拠点）,――,Ｍ,1,第１,1Y,安城第１工場,AW-131 ｾﾝﾖｳ,200,0.76,3,1,2,3.8,,,,,"18,510",22,"17,766",21,"14,798",18,"18,430",21,792,816,0,0,794,864,780,878,792,0,0,888,820,900,818,824,0,0,824,914,852,912,794,0,0,822,890,822,904,810,,"18,510","17,766","14,798","18,430",792,816,0,0,794,864,780,878,792,0,0,888,820,900,818,824,0,0,824,914,852,912,794,0,0,822,890,822,904,810
33490-ECB010,33490ECB010, A,"COOLER ASSY, OIL",使用中,かんばん,1Y,第１工場,手配,Ｐ,1042,マレリ（株）,4,澁澤倉庫,――,Ｍ,1,第１,1Y,安城第１工場,TP-332 ﾊﾝﾖｳ,4,0.82,3,1,2,3.92,,,,,"9,255",22,"8,883",21,"7,399",18,"9,215",21,396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405,,"9,255","8,883","7,399","9,215",396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405
33490-ECE010,33490ECE010, A,"COOLER ASSY, OIL",使用中,かんばん,1Y,第１工場,手配,Ｐ,1042,マレリ（株）,4,澁澤倉庫,――,Ｍ,1,第１,1Y,安城第１工場,TP-332 ﾊﾝﾖｳ,4,0.81,3,1,2,3.92,,,,,"11,959",22,"12,035",21,"9,576",18,"10,991",21,523,537,0,0,522,596,530,590,522,0,0,583,510,579,510,535,0,0,508,572,520,571,482,0,0,535,584,534,576,540,,"11,959","12,035","9,576","10,991",523,537,0,0,522,596,530,590,522,0,0,583,510,579,510,535,0,0,508,572,520,571,482,0,0,535,584,534,576,540
90366-28A005,9036628A005,,"RACE, TAPERED ROLLER BEARING, INNER",使用中,かんばん,1Y,第１工場,手配,Ｐ,1814,（株）ジェイテクト,2,香川工場,――,Ｍ,1,第１,1Y,安城第１工場,PT- 9 ｾﾝﾖｳ,60,0.63,3,1,1,1.9,,,,,"9,255",22,"8,883",21,"7,399",18,"9,215",21,396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405,,"9,255","8,883","7,399","9,215",396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405
90366-28A006,9036628A006,,"RACE, TAPERED ROLLER BEARING, OUTER",使用中,かんばん,1Y,第１工場,手配,Ｐ,1814,（株）ジェイテクト,2,香川工場,――,Ｍ,1,第１,1Y,安城第１工場,PT- 9 ｾﾝﾖｳ,80,0.63,3,1,1,1.9,,,,,"9,255",22,"8,883",21,"7,399",18,"9,215",21,396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405,,"9,255","8,883","7,399","9,215",396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405
90366-28A007,9036628A007,,"RACE, TAPERED ROLLER BEARING, INNER",使用中,かんばん,1Y,第１工場,手配,Ｐ,1814,（株）ジェイテクト,2,香川工場,――,Ｍ,1,第１,1Y,安城第１工場,PT- 9 ｾﾝﾖｳ,72,0.58,3,1,1,1.9,,,,,"11,959",22,"12,035",21,"9,576",18,"10,991",21,523,537,0,0,522,596,530,590,522,0,0,583,510,579,510,535,0,0,508,572,520,571,482,0,0,535,584,534,576,540,,"11,959","12,035","9,576","10,991",523,537,0,0,522,596,530,590,522,0,0,583,510,579,510,535,0,0,508,572,520,571,482,0,0,535,584,534,576,540
90366-28A008,9036628A008,,"RACE, TAPERED ROLLER BEARING, OUTER",使用中,かんばん,1Y,第１工場,手配,Ｐ,1814,（株）ジェイテクト,2,香川工場,――,Ｍ,1,第１,1Y,安城第１工場,PT- 9 ｾﾝﾖｳ,100,0.59,3,1,1,1.9,,,,,"11,959",22,"12,035",21,"9,576",18,"10,991",21,523,537,0,0,522,596,530,590,522,0,0,583,510,579,510,535,0,0,508,572,520,571,482,0,0,535,584,534,576,540,,"11,959","12,035","9,576","10,991",523,537,0,0,522,596,530,590,522,0,0,583,510,579,510,535,0,0,508,572,520,571,482,0,0,535,584,534,576,540
90366-30A017,9036630A017,,"RACE, TAPERED ROLLER BEARING, OUTER",使用中,かんばん,1Y,第１工場,手配,Ｐ,1814,（株）ジェイテクト,2,香川工場,――,Ｍ,1,第１,1Y,安城第１工場,PT- 9 ｾﾝﾖｳ,72,0.61,3,1,1,1.9,,,,,"21,214",22,"20,918",21,"16,975",18,"20,206",21,919,945,0,0,919,"1,028",920,"1,029",918,0,0,"1,027",920,"1,029",919,947,0,0,920,"1,029",946,"1,027",879,0,0,946,"1,029",945,"1,028",945,,"21,214","20,918","16,975","20,206",919,945,0,0,919,"1,028",920,"1,029",918,0,0,"1,027",920,"1,029",919,947,0,0,920,"1,029",946,"1,027",879,0,0,946,"1,029",945,"1,028",945
90366-30A018,9036630A018, A,"RACE, TAPERED ROLLER BEARING, INNER",使用中,かんばん,1Y,第１工場,手配,Ｐ,1814,（株）ジェイテクト,2,香川工場,――,Ｍ,1,第１,1Y,安城第１工場,PT- 9 ｾﾝﾖｳ,38,0.34,3,1,1,1.9,,,,,"21,214",22,"20,918",21,"16,975",18,"20,206",21,919,945,0,0,919,"1,028",920,"1,029",918,0,0,"1,027",920,"1,029",919,947,0,0,920,"1,029",946,"1,027",879,0,0,946,"1,029",945,"1,028",945,,"21,214","20,918","16,975","20,206",919,945,0,0,919,"1,028",920,"1,029",918,0,0,"1,027",920,"1,029",919,947,0,0,920,"1,029",946,"1,027",879,0,0,946,"1,029",945,"1,028",945
90366-52A003,9036652A003,,"RACE, TAPERED ROLLER BEARING, INNER",使用中,かんばん,1Y,第１工場,手配,Ｐ,1814,（株）ジェイテクト,2,香川工場,――,Ｍ,1,第１,1Y,安城第１工場,PT- 9 ｾﾝﾖｳ,60,0.58,3,1,1,1.9,,,,,"11,959",22,"12,035",21,"9,576",18,"10,991",21,523,537,0,0,522,596,530,590,522,0,0,583,510,579,510,535,0,0,508,572,520,571,482,0,0,535,584,534,576,540,,"11,959","12,035","9,576","10,991",523,537,0,0,522,596,530,590,522,0,0,583,510,579,510,535,0,0,508,572,520,571,482,0,0,535,584,534,576,540
90366-52A004,9036652A004,,"RACE, TAPERED ROLLER BEARING, OUTER",使用中,かんばん,1Y,第１工場,手配,Ｐ,1814,（株）ジェイテクト,2,香川工場,――,Ｍ,1,第１,1Y,安城第１工場,PT- 9 ｾﾝﾖｳ,63,0.58,3,1,1,1.9,,,,,"11,959",22,"12,035",21,"9,576",18,"10,991",21,523,537,0,0,522,596,530,590,522,0,0,583,510,579,510,535,0,0,508,572,520,571,482,0,0,535,584,534,576,540,,"11,959","12,035","9,576","10,991",523,537,0,0,522,596,530,590,522,0,0,583,510,579,510,535,0,0,508,572,520,571,482,0,0,535,584,534,576,540
90366-58A001,9036658A001,,"RACE, TAPERED ROLLER BEARING, INNER",使用中,かんばん,1Y,第１工場,手配,Ｐ,1814,（株）ジェイテクト,2,香川工場,――,Ｍ,1,第１,1Y,安城第１工場,PT- 9 ｾﾝﾖｳ,45,0.58,3,1,1,1.9,,,,,"9,255",22,"8,883",21,"7,399",18,"9,215",21,396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405,,"9,255","8,883","7,399","9,215",396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405
90366-58A002,9036658A002,,"RACE, TAPERED ROLLER BEARING, OUTER",使用中,かんばん,1Y,第１工場,手配,Ｐ,1814,（株）ジェイテクト,2,香川工場,――,Ｍ,1,第１,1Y,安城第１工場,PT- 9 ｾﾝﾖｳ,36,0.6,3,1,1,1.9,,,,,"9,255",22,"8,883",21,"7,399",18,"9,215",21,396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405,,"9,255","8,883","7,399","9,215",396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405
90366-59A009,9036659A009,,"RACE, TAPERED ROLLER BEARING, INNER",使用中,かんばん,1Y,第１工場,手配,Ｐ,1814,（株）ジェイテクト,2,香川工場,――,Ｍ,1,第１,1Y,安城第１工場,PT- 9 ｾﾝﾖｳ,36,0.6,3,1,1,1.9,,,,,"21,214",22,"20,918",21,"16,975",18,"20,206",21,919,945,0,0,919,"1,028",920,"1,029",918,0,0,"1,027",920,"1,029",919,947,0,0,920,"1,029",946,"1,027",879,0,0,946,"1,029",945,"1,028",945,,"21,214","20,918","16,975","20,206",919,945,0,0,919,"1,028",920,"1,029",918,0,0,"1,027",920,"1,029",919,947,0,0,920,"1,029",946,"1,027",879,0,0,946,"1,029",945,"1,028",945
90366-59A010,9036659A010,,"RACE, TAPERED ROLLER BEARING, OUTER",使用中,かんばん,1Y,第１工場,手配,Ｐ,1814,（株）ジェイテクト,2,香川工場,――,Ｍ,1,第１,1Y,安城第１工場,PT- 9 ｾﾝﾖｳ,36,0.6,3,1,1,1.9,,,,,"21,214",22,"20,918",21,"16,975",18,"20,206",21,919,945,0,0,919,"1,028",920,"1,029",918,0,0,"1,027",920,"1,029",919,947,0,0,920,"1,029",946,"1,027",879,0,0,946,"1,029",945,"1,028",945,,"21,214","20,918","16,975","20,206",919,945,0,0,919,"1,028",920,"1,029",918,0,0,"1,027",920,"1,029",919,947,0,0,920,"1,029",946,"1,027",879,0,0,946,"1,029",945,"1,028",945
35352-ECB010,35352ECB010,,"ROTOR, TRANSMISSION OIL PUMP DRIVEN",使用中,かんばん,1Y,第１工場,手配,Ｐ,1821,五興商事（株）,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,504,0.64,3,1,1,1.97,,,,,"9,255",22,"8,883",21,"7,399",18,"9,215",21,396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405,,"9,255","8,883","7,399","9,215",396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405
G9201-ECB030,G9201ECB030,,"COVER SUB-ASSY, INVERTER",使用中,かんばん,1Y,第１工場,手配,Ｐ,2017,佐藤工業（株）,3,藤塗装,――,Ｍ,1,第１,1Y,安城第１工場,ｻﾝﾎﾞｯｸｽ#20B,8,0.58,3,1,2,1.82,,,,,"9,254",22,"8,882",21,"7,398",18,"9,215",21,396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,411,0,0,412,457,426,456,397,0,0,411,445,411,452,405,,"9,254","8,882","7,398","9,215",396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,411,0,0,412,457,426,456,397,0,0,411,445,411,452,405
G9201-ECE010,G9201ECE010,,"COVER SUB-ASSY, INVERTER",使用中,かんばん,1Y,第１工場,手配,Ｐ,2017,佐藤工業（株）,3,藤塗装,――,Ｍ,1,第１,1Y,安城第１工場,ｻﾝﾎﾞｯｸｽ#20B,8,0.66,3,1,2,1.82,,,,,"11,958",22,"12,034",21,"9,575",18,"10,991",21,523,537,0,0,522,596,530,590,522,0,0,583,510,579,510,535,0,0,507,572,520,571,482,0,0,535,584,534,576,540,,"11,958","12,034","9,575","10,991",523,537,0,0,522,596,530,590,522,0,0,583,510,579,510,535,0,0,507,572,520,571,482,0,0,535,584,534,576,540
35198-ECE010,35198ECE010,,"BRACKET, WIRE HARNESS CLAMP",使用中,かんばん,1Y,第１工場,手配,Ｐ,2020,サトープレス工業（株）,1,本社工場,――,Ｍ,1,第１,1Y,安城第１工場,AW-331 ｾﾝﾖｳ,200,0.58,3,1,1,1.78,,,,,"11,959",22,"12,035",21,"9,576",18,"10,991",21,523,537,0,0,522,596,530,590,522,0,0,583,510,579,510,535,0,0,508,572,520,571,482,0,0,535,584,534,576,540,,"11,959","12,035","9,576","10,991",523,537,0,0,522,596,530,590,522,0,0,583,510,579,510,535,0,0,508,572,520,571,482,0,0,535,584,534,576,540
35482-55A010,3548255A010, A,"CLAMP, TEMPERATURE SENSOR",使用中,かんばん,1Y,第１工場,手配,Ｐ,2020,サトープレス工業（株）,1,本社工場,――,Ｍ,1,第１,1Y,安城第１工場,AW-131 ｾﾝﾖｳ,300,0.57,3,1,1,1.78,,,,,"11,959",22,"12,035",21,"9,576",18,"10,991",21,523,537,0,0,522,596,530,590,522,0,0,583,510,579,510,535,0,0,508,572,520,571,482,0,0,535,584,534,576,540,,"11,959","12,035","9,576","10,991",523,537,0,0,522,596,530,590,522,0,0,583,510,579,510,535,0,0,508,572,520,571,482,0,0,535,584,534,576,540
35482-TFA010,35482TFA010, A,"CLAMP, TEMPERATURE SENSOR",使用中,かんばん,1Y,第１工場,手配,Ｐ,2020,サトープレス工業（株）,1,本社工場,――,Ｍ,1,第１,1Y,安城第１工場,TP-131 ﾊﾝﾖｳ,"1,000",0.66,3,1,1,1.78,,,,,"9,255",22,"8,883",21,"7,399",18,"9,215",21,396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405,,"9,255","8,883","7,399","9,215",396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405
35595-ECB010,35595ECB010, A,"BRACKET, PARKING LOCK PAWL",使用中,かんばん,1Y,第１工場,手配,Ｐ,2020,サトープレス工業（株）,1,本社工場,――,Ｍ,1,第１,1Y,安城第１工場,TP-131 ｾﾝﾖｳ,40,0.57,3,1,1,1.78,,,,,"9,255",22,"8,883",21,"7,399",18,"9,215",21,396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405,,"9,255","8,883","7,399","9,215",396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405
5040 056 001E,5040056001E, B,"CLAMP, TUBE",使用中,かんばん,1Y,第１工場,手配,Ｐ,2020,サトープレス工業（株）,1,本社工場,――,Ｍ,1,第１,1Y,安城第１工場,AW-131 ｾﾝﾖｳ,300,0.58,3,1,1,1.78,,,,,"46,275",22,"44,415",21,"36,995",18,"46,075",21,"1,980","2,040",0,0,"1,985","2,160","1,950","2,195","1,980",0,0,"2,220","2,050","2,250","2,045","2,060",0,0,"2,060","2,285","2,130","2,280","1,985",0,0,"2,055","2,225","2,055","2,260","2,025",,"46,275","44,415","36,995","46,075","1,980","2,040",0,0,"1,985","2,160","1,950","2,195","1,980",0,0,"2,220","2,050","2,250","2,045","2,060",0,0,"2,060","2,285","2,130","2,280","1,985",0,0,"2,055","2,225","2,055","2,260","2,025"
