,品番,変更後）正常1,変更後）正常2,変更後）正常3,変更後）正常4,変更後）異常1,変更後）異常2,変更後）異常3,変更後）異常4,品名,収容数,仕入先名/工場名,A,B,C,整備室,箱種,箱サイズ,箱重量,手配区分,変更後）かんばん数,変更後）社内LT,変更後）基準在庫日数（基準在庫枚数込み）,変更後）社内LT-基準在庫日数（基準在庫枚数込み）,変更後）日量数平均,変更後）計算社内かんばん数,変更後）計算社内かんばん数MAX,変更後）基準在庫日数
145,G1250ECB010,0.0,0.0,20.689655172413794,13.793103448275861,15.517241379310345,10.344827586206897,15.517241379310345,15.517241379310345,"SENSOR, TEMPERATURE",700.0,ＴＤＫ（株）,1.0,1.0,1.0,1Y,,0.0,0.0,直送,58.0,1.4100000000000006,1.1204970178926454,0.28950298210735514,5030.0,73.935,82.31833333333333,0.87
146,G1250ECC010,0.0,0.0,0.0,25.0,6.25,15.625,18.75,18.75,"BOLT, FLANGE",2000.0,（株）青山製作所,1.0,6.0,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,12.63,手配,32.0,2.0549999999999997,1.2677272727272715,0.7872727272727282,3168.0,46.936,52.216,0.87
147,G1250ECE010,0.0,0.0,5.454545454545454,6.363636363636363,17.272727272727273,15.454545454545453,22.727272727272727,22.727272727272727,"BOLT, FLANGE",1500.0,（株）青山製作所,1.0,6.0,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,10.13,手配,110.0,1.6600000000000001,1.000689655172412,0.6593103448275881,10440.0,154.12,171.52,0.88
148,G9201ECB030,0.0,1.5174506828528074,2.4279210925644916,7.132018209408194,11.077389984825494,9.104704097116842,17.298937784522003,17.298937784522003,"BOLT, FLANGE",500.0,（株）青山製作所,1.0,6.0,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,8.83,手配,659.0,1.67,0.8209906063193961,0.8490093936806038,8197.0,801.2075,903.67,0.78
149,G9201ECE010,0.0,2.6631158455392807,3.7283621837549936,10.918774966711052,5.326231691078561,7.8561917443408795,23.96804260985353,23.96804260985353,"BOLT, FLANGE",300.0,（株）青山製作所,1.0,6.0,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,10.22,手配,751.0,1.7400000000000002,0.8921869910910888,0.8478130089089114,10439.0,1124.1924999999999,1254.6799999999998,0.86
019128GA010    ,,,,,,,,,,,,,,,,,,,,,189.0,2.1300000000000003,,,,,,
01912ECB010    ,,,,,,,,,,,,,,,,,,,,,63.0,2.78,,,,,,
01912ECB040    ,,,,,,,,,,,,,,,,,,,,,245.0,1.5,,,,,,
01912ECB060    ,,,,,,,,,,,,,,,,,,,,,7.0,2.52,,,,,,
1040043104R    ,,,,,,,,,,,,,,,,,,,,,9.0,3.45,,,,,,
1040052001Z    ,,,,,,,,,,,,,,,,,,,,,26.0,2.4050000000000002,,,,,,
1040183011P    ,,,,,,,,,,,,,,,,,,,,,38.0,1.1700000000000002,,,,,,
2030044001J    ,,,,,,,,,,,,,,,,,,,,,10.0,1.7349999999999999,,,,,,
2030045013L    ,,,,,,,,,,,,,,,,,,,,,9.0,1.69,,,,,,
