,“úŽž,‰×–ðŽžŠÔ_•Ö_01,‰×–ðŽžŠÔ_•Ö_02,‰×–ðŽžŠÔ_•Ö_03,‰×–ðŽžŠÔ_•Ö_04,‰×–ðŽžŠÔ_•Ö_05,‰×–ðŽžŠÔ_•Ö_06,‰×–ðŽžŠÔ_•Ö_0K,‰×–ðŽžŠÔ,‰×–ðŽžŠÔ(t-1),‰×–ðŽžŠÔ(t-2),‰×–ðŽžŠÔ(t-3),‰×–ðŽžŠÔ(t-4),‰×–ðŽžŠÔ(t-5),‰×–ðŽžŠÔ(t-6),‰×–ðŽžŠÔ(t-7)
85,2023-10-04 13:00:00,0.0,53.908500000000004,0.0,0.0,0.0,0.0,0.0,53.908500000000004,0.0,0.0,0.0,33.4515,0.0,0.0,0.0
86,2023-10-04 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.908500000000004,0.0,0.0,0.0,33.4515,0.0,0.0
87,2023-10-04 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.908500000000004,0.0,0.0,0.0,33.4515,0.0
88,2023-10-04 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.908500000000004,0.0,0.0,0.0,33.4515
89,2023-10-04 17:00:00,0.0,0.0,47.71745,0.0,0.0,0.0,0.0,47.71745,0.0,0.0,0.0,53.908500000000004,0.0,0.0,0.0
90,2023-10-04 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.71745,0.0,0.0,0.0,53.908500000000004,0.0,0.0
91,2023-10-04 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.71745,0.0,0.0,0.0,53.908500000000004,0.0
92,2023-10-04 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.71745,0.0,0.0,0.0,53.908500000000004
93,2023-10-04 21:00:00,0.0,0.0,0.0,18.27716666666667,0.0,0.0,0.0,18.27716666666667,0.0,0.0,0.0,47.71745,0.0,0.0,0.0
94,2023-10-04 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.27716666666667,0.0,0.0,0.0,47.71745,0.0,0.0
95,2023-10-04 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.27716666666667,0.0,0.0,0.0,47.71745,0.0
96,2023-10-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.27716666666667,0.0,0.0,0.0,47.71745
97,2023-10-05 01:00:00,0.0,0.0,0.0,0.0,41.56105,0.0,0.0,41.56105,0.0,0.0,0.0,18.27716666666667,0.0,0.0,0.0
98,2023-10-05 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.56105,0.0,0.0,0.0,18.27716666666667,0.0,0.0
