,品番,Year,Week_Number,基準在庫日数,基準在庫枚数,箱種類,A,B,C,収容数,納入便,社内LT（検収～回収LT）,日量数（箱数）,仕入先名,かんばん数
106,35145ECB010    ,2023,37,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100,1.0,3.0666666666666673,3.4177777777777774,三共鋼業（株）,21
107,35145ECB010    ,2023,38,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100,1.0,3.155499999999999,3.4455000000000005,三共鋼業（株）,20
108,35145ECB010    ,2023,39,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100,1.0,2.7890000000000006,2.5575,三共鋼業（株）,20
109,35145ECE010    ,2023,35,0.65,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100,1.0,4.8340000000000005,5.324,三共鋼業（株）,5
110,35145ECE010    ,2023,36,0.65,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100,1.0,2.6354166666666674,4.8016666666666685,三共鋼業（株）,24
111,35145ECE010    ,2023,37,0.65,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100,1.0,2.602857142857143,4.745238095238095,三共鋼業（株）,26
112,35145ECE010    ,2023,38,0.65,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100,1.0,2.6237500000000002,4.516666666666665,三共鋼業（株）,24
113,35145ECE010    ,2023,39,0.65,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100,1.0,2.5500000000000003,3.0373076923076923,三共鋼業（株）,26
114,35145ECE020    ,2023,35,0.65,1.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,100,2.3333333333333335,3.8433333333333337,5.32,（株）浅賀井製作所,6
115,35145ECE020    ,2023,36,0.65,1.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,100,2.4615384615384617,2.1926923076923073,4.865384615384617,（株）浅賀井製作所,26
116,35145ECE020    ,2023,37,0.65,1.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,100,2.3846153846153846,2.3134615384615382,4.619999999999999,（株）浅賀井製作所,26
117,35145ECE020    ,2023,38,0.65,1.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,100,2.6538461538461537,2.212800000000001,4.539999999999998,（株）浅賀井製作所,26
118,35145ECE020    ,2023,39,0.65,1.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,100,2.5384615384615383,2.7168,3.2032,（株）浅賀井製作所,26
119,35165ECE010    ,2023,35,0.63,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.21,200,1.0,6.133333333333334,2.651666666666667,（株）松尾製作所,3
120,35165ECE010    ,2023,36,0.63,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.21,200,1.0,4.214999999999999,2.341,（株）松尾製作所,10
121,35165ECE010    ,2023,37,0.63,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.21,200,1.0,3.42923076923077,2.294615384615385,（株）松尾製作所,13
122,35165ECE010    ,2023,38,0.63,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.21,200,1.0,3.5246153846153847,2.2915384615384617,（株）松尾製作所,13
123,35165ECE010    ,2023,39,0.63,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.21,200,1.0,3.7458333333333336,1.4708333333333332,（株）松尾製作所,12
124,35174ECB010    ,2023,35,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,20,2.5555555555555554,3.2788888888888885,19.425000000000004,（株）浅賀井製作所,18
125,35174ECB010    ,2023,36,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,20,2.489795918367347,1.5977551020408167,18.540306122448953,（株）浅賀井製作所,98
126,35174ECB010    ,2023,37,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,20,2.55,1.5206000000000004,17.692999999999987,（株）浅賀井製作所,100
127,35174ECB010    ,2023,38,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,20,2.510869565217391,1.537391304347826,17.515217391304365,（株）浅賀井製作所,92
128,35174ECB010    ,2023,39,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,20,2.4705882352941178,1.6318556701030922,14.826288659793805,（株）浅賀井製作所,102
129,35174ECE010    ,2023,35,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,40,2.4285714285714284,4.0564285714285715,13.305357142857138,（株）浅賀井製作所,14
130,35174ECE010    ,2023,36,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,40,2.5245901639344264,2.4591803278688524,11.795491803278694,（株）浅賀井製作所,61
131,35174ECE010    ,2023,37,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,40,2.5076923076923077,2.51723076923077,11.532692307692313,（株）浅賀井製作所,65
132,35174ECE010    ,2023,38,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,40,2.55,2.4410000000000003,11.47208333333334,（株）浅賀井製作所,60
133,35174ECE010    ,2023,39,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,40,2.3870967741935485,2.4433898305084742,8.889830508474574,（株）浅賀井製作所,62
134,35174ECE020    ,2023,35,0.63,3.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,90,2.5,4.204999999999999,5.905555555555556,（株）浅賀井製作所,6
135,35174ECE020    ,2023,36,0.63,3.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,90,2.5925925925925926,2.7692592592592598,5.349794238683126,（株）浅賀井製作所,27
136,35174ECE020    ,2023,37,0.63,3.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,90,2.566666666666667,2.4462068965517245,5.166283524904213,（株）浅賀井製作所,30
137,35174ECE020    ,2023,38,0.63,3.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,90,2.607142857142857,2.7742857142857145,5.087301587301589,（株）浅賀井製作所,28
138,35174ECE020    ,2023,39,0.63,3.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,90,2.392857142857143,2.476153846153846,3.3833333333333333,（株）浅賀井製作所,28
139,3519510A010    ,2023,36,0.63,1.0,ＡＷ１３１フタナシ,1.0,2.0,2.34,600,2.0,6.995,0.6575,中庸スプリング（株）,2
140,3519510A010    ,2023,37,0.63,1.0,ＡＷ１３１フタナシ,1.0,2.0,2.34,600,1.0,4.8175,0.6345833333333333,中庸スプリング（株）,4
141,3519510A010    ,2023,38,0.63,1.0,ＡＷ１３１フタナシ,1.0,2.0,2.34,600,1.6666666666666667,7.86,0.4283333333333334,中庸スプリング（株）,3
142,3519510A010    ,2023,39,0.63,1.0,ＡＷ１３１フタナシ,1.0,2.0,2.34,600,1.6666666666666667,5.609999999999999,0.6933333333333334,中庸スプリング（株）,3
143,35195ECE010    ,2023,35,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,400,1.0,4.529999999999999,2.6574999999999998,三共鋼業（株）,2
144,35195ECE010    ,2023,36,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,400,1.0,3.4149999999999996,2.1704166666666675,三共鋼業（株）,12
145,35195ECE010    ,2023,37,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,400,1.0,4.723000000000001,2.5075000000000003,三共鋼業（株）,13
146,35195ECE010    ,2023,38,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,400,1.0,4.596153846153847,1.8980769230769232,三共鋼業（株）,13
147,35195ECE010    ,2023,39,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,400,1.0,4.550833333333333,1.4983333333333333,三共鋼業（株）,12
148,35195TFG010    ,2023,35,0.62,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,400,1.0,3.21,2.675,三共鋼業（株）,1
149,35195TFG010    ,2023,36,0.62,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,400,1.0,3.9600000000000004,2.3183333333333334,三共鋼業（株）,12
150,35195TFG010    ,2023,37,0.62,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,400,1.0,2.9419999999999997,2.2329999999999997,三共鋼業（株）,13
151,35195TFG010    ,2023,38,0.62,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,400,1.0,3.641538461538462,2.1023076923076927,三共鋼業（株）,13
152,35195TFG010    ,2023,39,0.62,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,400,1.0,3.716153846153847,1.3773076923076923,三共鋼業（株）,13
153,35198ECE010    ,2023,35,0.58,1.0,ＴＰ３３１フタナシ,1.0,1.0,1.78,200,1.0,5.78,2.651666666666667,サトープレス工業（株）,3
154,35198ECE010    ,2023,36,0.58,1.0,ＴＰ３３１フタナシ,1.0,1.0,1.78,200,1.0,3.6149999999999998,2.390833333333333,サトープレス工業（株）,12
155,35198ECE010    ,2023,37,0.58,1.0,ＴＰ３３１フタナシ,1.0,1.0,1.78,200,1.0,3.4576923076923074,2.3180769230769234,サトープレス工業（株）,13
156,35198ECE010    ,2023,38,0.58,1.0,ＴＰ３３１フタナシ,1.0,1.0,1.78,200,1.0,3.7630769230769237,2.2746153846153847,サトープレス工業（株）,13
157,35198ECE010    ,2023,39,0.58,1.0,ＴＰ３３１フタナシ,1.0,1.0,1.78,200,1.0,3.7830769230769223,1.7692307692307692,サトープレス工業（株）,13
158,35300ECB010    ,2023,35,0.91,3.0,TP341ﾌﾀﾅｼ,1.0,4.0,8.04,12,2.3582089552238807,4.61149253731343,78.7761194029851,アイシン精機（株）,67
