品番,Year,Week_Number,基準在庫日数,基準在庫枚数,箱種類,B,日量数（箱数）,収容数,納入便,社内LT（検収〜回収LT）,仕入先名,かんばん数
1040052001Z    ,2023,36,0.53,3.0,ＴＰ１３１フタナシ,6.0,2.675,200,5.0,5.09,（株）青山製作所,1
1040052001Z    ,2023,37,0.53,3.0,ＴＰ１３１フタナシ,6.0,0.0,200,4.0,2.24,（株）青山製作所,1
1040052001Z    ,2023,37,0.53,3.0,ＴＰ１３１フタナシ,6.0,2.37,200,2.5,3.5,（株）青山製作所,4
1040052001Z    ,2023,37,0.53,3.0,ＴＰ１３１フタナシ,6.0,2.375,200,3.0,0.76,（株）青山製作所,1
1040052001Z    ,2023,37,0.53,3.0,ＴＰ１３１フタナシ,6.0,2.495,200,3.3333333333333335,4.66,（株）青山製作所,3
1040052001Z    ,2023,37,0.53,3.0,ＴＰ１３１フタナシ,6.0,2.5,200,2.0,4.83,（株）青山製作所,2
1040052001Z    ,2023,37,0.53,3.0,ＴＰ１３１フタナシ,6.0,2.675,200,4.0,2.8,（株）青山製作所,1
1040052001Z    ,2023,38,0.53,3.0,ＴＰ１３１フタナシ,6.0,0.0,200,1.0,2.3100000000000005,（株）青山製作所,2
1040052001Z    ,2023,38,0.53,3.0,ＴＰ１３１フタナシ,6.0,2.275,200,5.5,1.33,（株）青山製作所,2
1040052001Z    ,2023,38,0.53,3.0,ＴＰ１３１フタナシ,6.0,2.455,200,6.0,7.93,（株）青山製作所,1
1040052001Z    ,2023,38,0.53,3.0,ＴＰ１３１フタナシ,6.0,2.465,200,2.0,6.219999999999999,（株）青山製作所,1
1040052001Z    ,2023,38,0.53,3.0,ＴＰ１３１フタナシ,6.0,2.495,200,1.0,3.62,（株）青山製作所,1
1040052001Z    ,2023,38,0.53,3.0,ＴＰ１３１フタナシ,6.0,2.5,200,2.0,1.7599999999999996,（株）青山製作所,2
1040052001Z    ,2023,38,0.53,3.0,ＴＰ１３１フタナシ,6.0,2.585,200,4.333333333333333,5.183333333333334,（株）青山製作所,3
1040052001Z    ,2023,39,0.53,3.0,ＴＰ１３１フタナシ,6.0,0.0,200,2.6,4.956,（株）青山製作所,5
1040052001Z    ,2023,39,0.53,3.0,ＴＰ１３１フタナシ,6.0,2.34,200,3.6666666666666665,2.953333333333333,（株）青山製作所,3
1040052001Z    ,2023,39,0.53,3.0,ＴＰ１３１フタナシ,6.0,2.455,200,2.5,2.2299999999999995,（株）青山製作所,2
1040052001Z    ,2023,39,0.53,3.0,ＴＰ１３１フタナシ,6.0,2.645,200,2.0,7.8,（株）青山製作所,1
1040052001Z    ,2023,39,0.53,3.0,ＴＰ１３１フタナシ,6.0,2.675,200,3.5,6.615,（株）青山製作所,2
1040183011P    ,2023,35,0.54,1.0,ＴＰ３３１フタナシ,6.0,2.466,500,3.5,3.1999999999999997,（株）青山製作所,2
1040183011P    ,2023,36,0.54,1.0,ＴＰ３３１フタナシ,6.0,0.0,500,5.0,1.1800000000000002,（株）青山製作所,2
1040183011P    ,2023,36,0.54,1.0,ＴＰ３３１フタナシ,6.0,2.226,500,2.0,3.17,（株）青山製作所,1
1040183011P    ,2023,36,0.54,1.0,ＴＰ３３１フタナシ,6.0,2.466,500,3.5,1.6875,（株）青山製作所,4
1040183011P    ,2023,36,0.54,1.0,ＴＰ３３１フタナシ,6.0,2.502,500,2.6,1.2540000000000002,（株）青山製作所,5
1040183011P    ,2023,37,0.54,1.0,ＴＰ３３１フタナシ,6.0,0.0,500,6.0,1.16,（株）青山製作所,1
1040183011P    ,2023,37,0.54,1.0,ＴＰ３３１フタナシ,6.0,2.226,500,2.6666666666666665,1.133333333333333,（株）青山製作所,3
1040183011P    ,2023,37,0.54,1.0,ＴＰ３３１フタナシ,6.0,2.232,500,3.0,1.0333333333333332,（株）青山製作所,3
1040183011P    ,2023,37,0.54,1.0,ＴＰ３３１フタナシ,6.0,2.268,500,3.0,3.27,（株）青山製作所,2
1040183011P    ,2023,37,0.54,1.0,ＴＰ３３１フタナシ,6.0,2.466,500,2.6666666666666665,1.1933333333333336,（株）青山製作所,3
1040183011P    ,2023,38,0.54,1.0,ＴＰ３３１フタナシ,6.0,0.0,500,6.0,1.06,（株）青山製作所,1
1040183011P    ,2023,38,0.54,1.0,ＴＰ３３１フタナシ,6.0,2.16,500,3.0,1.3050000000000002,（株）青山製作所,2
1040183011P    ,2023,38,0.54,1.0,ＴＰ３３１フタナシ,6.0,2.268,500,2.3333333333333335,1.3799999999999997,（株）青山製作所,3
1040183011P    ,2023,38,0.54,1.0,ＴＰ３３１フタナシ,6.0,2.274,500,3.6666666666666665,1.45,（株）青山製作所,3
1040183011P    ,2023,38,0.54,1.0,ＴＰ３３１フタナシ,6.0,2.304,500,4.0,3.85,（株）青山製作所,1
1040183011P    ,2023,38,0.54,1.0,ＴＰ３３１フタナシ,6.0,2.52,500,4.0,3.515,（株）青山製作所,2
1040183011P    ,2023,39,0.54,1.0,ＴＰ３３１フタナシ,6.0,0.0,500,3.6666666666666665,3.1633333333333327,（株）青山製作所,3
1040183011P    ,2023,39,0.54,1.0,ＴＰ３３１フタナシ,6.0,2.124,500,4.5,1.08,（株）青山製作所,2
1040183011P    ,2023,39,0.54,1.0,ＴＰ３３１フタナシ,6.0,2.322,500,3.5,1.1949999999999998,（株）青山製作所,2
1040183011P    ,2023,39,0.54,1.0,ＴＰ３３１フタナシ,6.0,2.52,500,2.0,1.2200000000000002,（株）青山製作所,1
1040183011P    ,2023,39,0.54,1.0,ＴＰ３３１フタナシ,6.0,2.526,500,2.3333333333333335,1.2333333333333334,（株）青山製作所,3
2030044001J    ,2023,35,0.54,1.0,ＴＰ１３１フタナシ,2.0,1.0275,400,1.0,6.24,ＮＯＫ（株）,1
2030044001J    ,2023,36,0.54,1.0,ＴＰ１３１フタナシ,2.0,0.9275,400,2.0,2.6899999999999995,ＮＯＫ（株）,1
2030044001J    ,2023,36,0.54,1.0,ＴＰ１３１フタナシ,2.0,1.03,400,2.0,6.58,ＮＯＫ（株）,1
2030044001J    ,2023,36,0.54,1.0,ＴＰ１３１フタナシ,2.0,1.0425,400,2.0,1.8850000000000002,ＮＯＫ（株）,2
2030044001J    ,2023,37,0.54,1.0,ＴＰ１３１フタナシ,2.0,0.9275,400,2.0,0.7399999999999998,ＮＯＫ（株）,1
2030044001J    ,2023,37,0.54,1.0,ＴＰ１３１フタナシ,2.0,0.93,400,2.0,1.5099999999999998,ＮＯＫ（株）,1
2030044001J    ,2023,37,0.54,1.0,ＴＰ１３１フタナシ,2.0,0.945,400,2.0,3.75,ＮＯＫ（株）,2
2030044001J    ,2023,37,0.54,1.0,ＴＰ１３１フタナシ,2.0,1.05,400,2.0,14.740000000000002,ＮＯＫ（株）,1
2030044001J    ,2023,38,0.54,1.0,ＴＰ１３１フタナシ,2.0,0.9,400,1.0,4.51,ＮＯＫ（株）,1
2030044001J    ,2023,38,0.54,1.0,ＴＰ１３１フタナシ,2.0,0.945,400,2.0,1.09,ＮＯＫ（株）,1
2030044001J    ,2023,38,0.54,1.0,ＴＰ１３１フタナシ,2.0,0.9475,400,1.0,1.33,ＮＯＫ（株）,1
2030044001J    ,2023,38,0.54,1.0,ＴＰ１３１フタナシ,2.0,0.96,400,2.0,3.8600000000000003,ＮＯＫ（株）,1
2030044001J    ,2023,39,0.54,1.0,ＴＰ１３１フタナシ,2.0,0.0,400,2.0,3.0399999999999996,ＮＯＫ（株）,1
2030044001J    ,2023,39,0.54,1.0,ＴＰ１３１フタナシ,2.0,0.885,400,2.0,2.04,ＮＯＫ（株）,1
2030044001J    ,2023,39,0.54,1.0,ＴＰ１３１フタナシ,2.0,0.9675,400,2.0,1.7399999999999998,ＮＯＫ（株）,1
2030044001J    ,2023,39,0.54,1.0,ＴＰ１３１フタナシ,2.0,1.0275,400,2.0,5.18,ＮＯＫ（株）,1
2030044001J    ,2023,39,0.54,1.0,ＴＰ１３１フタナシ,2.0,1.0525,400,2.0,1.8599999999999999,ＮＯＫ（株）,1
2030045013L    ,2023,35,0.53,3.0,ＴＰ３３１フタナシ,1.0,1.2105,2000,1.0,4.67,伊藤金属工業（株）,1
2030045013L    ,2023,36,0.53,3.0,ＴＰ３３１フタナシ,1.0,1.082,2000,1.0,6.85,伊藤金属工業（株）,1
2030045013L    ,2023,36,0.53,3.0,ＴＰ３３１フタナシ,1.0,1.1265,2000,1.0,10.459999999999999,伊藤金属工業（株）,1
2030045013L    ,2023,36,0.53,3.0,ＴＰ３３１フタナシ,1.0,1.209,2000,1.0,0.7999999999999998,伊藤金属工業（株）,1
2030045013L    ,2023,36,0.53,3.0,ＴＰ３３１フタナシ,1.0,1.212,2000,1.0,1.8066666666666666,伊藤金属工業（株）,3
2030045013L    ,2023,36,0.53,3.0,ＴＰ３３１フタナシ,1.0,1.2145,2000,1.0,9.04,伊藤金属工業（株）,1
2030045013L    ,2023,37,0.53,3.0,ＴＰ３３１フタナシ,1.0,1.083,2000,1.0,1.9200000000000004,伊藤金属工業（株）,1
